bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,short_maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
123057,美联转债,mlzz,173.2,-3.96,300586,美联新材,mlxc,16.58,-1.13,5.67,9.5,174.53,0,-0.76,172.44,220503,szcy,C,2020-07-27,N,0,0,buy,AA-,,6.65,12.35,3.2,buy,26-06-30,,2.059,24752.09,7189.17,68.16,,,0,"最后交易日：2023年4月7日
最后转股日：2023年4月12日
赎回价：100.784元/张",R,11:23:36,00,R,Y,N,0,0,Y,,2021-01-07 开始转股,强赎登记日2023-04-07，赎回价格100.784元，如不考虑强赎纯债价值为96.72元，计算使用3.3年期 评级为AA- 债参考YTM：6.1299,N,2.07,全价：173.200 最后更新：11:23:36,2023-04-07,100.784,如不考虑强赎期权价值为103.20元,,buy
113595,花王转债,hwzz,135.445,-0.02,603007,ST花王,sthw,6.08,0.33,4.47,4.48,135.94,0,-0.36,135.09,620307,shmb,C,2020-08-18,N,0,0,buy,B+,,3.14,5.82,15.8,buy,26-07-20,3.332,3.203,33799.87,3977.12,77.76,-2.67,,0,,,11:23:36,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-01-27 开始转股,,N,3.3,全价：135.445 最后更新：11:23:36,,,,,buy
123118,惠城转债,hczz,245.179,-1.22,300779,惠城环保,hchb,41.93,-0.47,6.07,17.06,245.78,0,-0.24,244.94,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,6.7,buy,27-07-06,4.293,2.518,23401.03,3909.39,37.68,-15.42,,0,,,11:23:36,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.3年期 评级为A+ 债参考YTM：8.6740,N,3.2,全价：245.179 最后更新：11:23:36,,,,,buy
127057,盘龙转债,plzz,145.957,-7.03,002864,盘龙药业,plyy,38.65,-2.69,3.72,26.41,146.31,0,-0.24,145.72,370201,szmb,C,2022-04-08,N,0,0,buy,A+,,18.49,34.33,8.5,buy,28-03-03,,1.769,118988.45,41756.61,441.5,,,0,"最后交易日：2023年3月24日
最后转股日：2023年3月29日
赎回价：100.05元/张",R,11:23:36,00,,Y,N,0,0,Y,,2022-09-09 开始转股,强赎登记日2023-03-24，赎回价格100.050元，如不考虑强赎纯债价值为80.33元，计算使用5.0年期 评级为A+ 债参考YTM：8.8579,N,2.76,全价：145.957 最后更新：11:23:36,2023-03-24,100.050,如不考虑强赎期权价值为100.83元,,buy
123083,朗新转债,lxzz,186.506,-0.79,300682,朗新科技,lxkj,28.19,-0.6,4.51,15.2,184.93,0,0.85,187.36,710301,szcy,C,2021-01-06,N,0,0,buy,AA,,10.64,19.76,1.9,buy,26-12-09,3.721,5.48,9319.54,7186.37,9.08,-12.52,,0,,,11:23:36,00,R,Y,N,0,0,Y,,2021-06-15 开始转股,计算使用3.8年期 评级为AA 债参考YTM：3.7686,N,8.0,全价：186.506 最后更新：11:23:36,,,,,buy
128114,正邦转债,zbzz,92.682,0.46,002157,正邦科技,zbkj,3.32,1.22,144.78,3.62,91.71,0,1.06,93.74,110702,szmb,C,2020-07-15,N,0,0,buy,B,,2.53,4.71,16.3,buy,26-06-16,3.238,13.168,4979.24,9226.62,4.07,6.85,,0,,,11:23:33,00,R,Y,N,3,3,Y,转股价下修3次，成功下修3次,2020-12-23 开始转股,计算使用3.3年期 评级为B 债参考YTM：36.9399,N,16.0,全价：92.682 最后更新：11:23:33,,,,,buy
127058,科伦转债,klzz,169.856,-0.03,002422,科伦药业,klyy,27.93,-0.14,2.75,16.65,167.87,0,1.18,171.04,370102,szmb,C,2022-04-20,N,0,0,buy,AA+,,11.66,21.65,6.4,buy,28-03-18,4.995,20.949,7869.28,16188.69,2.2,-8.05,,0,本次（2022年9月29日至2022年10月28日）不提前赎回，至2023年10月28日均不行使提前赎回权利,G,11:23:36,00,R,Y,N,0,0,Y,,2022-09-26 开始转股,计算使用5.0年期 评级为AA+ 债参考YTM：3.5679,N,30.0,全价：169.856 最后更新：11:23:36,,,,,buy
111006,嵘泰转债,rtzz,140.704,-1.47,605133,嵘泰股份,rtgf,37.91,3.24,3.43,27.34,138.66,0,1.47,142.17,280203,shmb,C,2022-09-21,N,0,0,buy,AA-,,19.14,35.54,42.9,buy,28-08-11,5.395,6.506,54526.48,22304.19,59.3,-2.91,,0,,,11:23:37,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-02-17 开始转股,计算使用5.4年期 评级为AA- 债参考YTM：6.5024,N,6.507,全价：140.704 最后更新：11:23:37,,,,,buy
110061,川投转债,ctzz,153.968,1.24,600674,川投能源,ctny,13.35,1.44,1.84,8.8,151.7,0,1.49,155.46,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,5.8,buy,25-11-10,2.641,34.82,7294.61,7639.14,1.36,-12.34,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,11:23:29,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.7年期 评级为AAA 债参考YTM：3.0352,N,40.0,全价：153.968 最后更新：11:23:29,,,,,buy
123092,天壕转债,thzz,230.046,1.17,300332,天壕环境,thhj,11.63,1.93,2.64,5.14,226.26,0,1.67,231.72,410301,szcy,C,2021-01-15,N,0,0,buy,A+,,3.6,6.68,4.2,buy,26-12-23,3.759,4.142,4425.26,3732.81,4.62,-16.09,,0,本次（2023年1月1日至2023年1月30日）不提前赎回，以2023年7月1日后首个交易日重新计算,G,11:23:36,00,R,Y,N,0,0,Y,,2021-06-30 开始转股,计算使用3.8年期 评级为A+ 债参考YTM：8.6086,N,4.23,全价：230.046 最后更新：11:23:36,,,,,buy
