bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
111006,嵘泰转债,2022-09-21,130.139,-1.19,-1.48,5.582,67.07,5.375,605133,嵘泰股份,shmb
123057,美联转债,2020-07-27,165.2,-0.1,,1.308,58.62,,300586,美联新材,szcy
123118,惠城转债,2021-07-26,223.2,-0.06,-13.57,2.314,77.74,4.274,300779,惠城环保,szcy
128078,太极转债,2019-11-08,187.583,-0.03,,4.43,146.87,,002368,太极股份,szmb
123083,朗新转债,2021-01-06,181.333,1.0,,3.613,35.44,,300682,朗新科技,szcy
113595,花王转债,2020-08-18,127.892,1.59,-0.95,3.076,83.89,3.312,603007,ST花王,shmb
128114,正邦转债,2020-07-15,91.692,1.82,7.26,13.105,3.12,3.219,002157,正邦科技,szmb
110061,川投转债,2019-12-02,150.724,1.95,-11.7,34.819,1.04,2.622,600674,川投能源,shmb
127058,科伦转债,2022-04-20,169.157,2.08,-8.01,20.949,4.38,4.975,002422,科伦药业,szmb
110052,贵广转债,2019-03-29,164.834,3.71,-17.09,2.893,27.68,1.937,600996,贵广网络,shmb
110053,苏银转债,2019-04-03,121.198,4.11,-2.9,199.98,0.71,1.959,600919,江苏银行,shmb
128081,海亮转债,2019-12-16,125.53,4.55,-3.85,28.231,1.56,2.652,002203,海亮股份,szmb
113044,大秦转债,2021-01-15,112.217,5.01,0.29,319.988,0.52,3.712,601006,大秦铁路,shmb
113534,鼎胜转债,2019-04-30,285.664,5.14,-37.03,3.933,24.12,2.03,603876,鼎胜新材,shmb
123077,汉得转债,2020-12-15,150.299,5.27,-5.1,9.367,38.65,3.658,300170,汉得信息,szcy
123092,天壕转债,2021-01-15,239.5,5.4,-17.07,4.142,3.81,3.74,300332,天壕环境,szcy
127014,北方转债,2019-11-21,206.201,5.61,-21.02,5.341,172.75,2.573,000065,北方国际,szmb
123116,万兴转债,2021-07-01,156.0,5.89,-6.0,3.78,312.71,4.197,300624,万兴科技,szcy
123112,万讯转债,2021-04-23,146.45,6.28,-4.14,2.452,145.41,4.027,300112,万讯自控,szcy
110068,龙净转债,2020-04-15,173.464,6.29,-13.45,18.888,5.72,2.986,600388,ST龙净,shmb
123164,法本转债,2022-11-14,163.1,6.75,-5.25,6.007,34.86,5.567,300925,法本信息,szcy
128017,金禾转债,2017-11-27,151.898,7.57,-50.78,5.518,4.82,0.595,002597,金禾实业,szmb
113504,艾华转债,2018-03-23,136.757,7.59,-24.21,4.627,8.53,0.929,603989,艾华集团,shmb
123098,一品转债,2021-02-23,185.5,7.76,-10.31,4.047,17.62,3.838,300723,一品红,szcy
128128,齐翔转2,2020-09-15,136.69,7.87,-5.21,6.795,1.75,3.395,002408,齐翔腾达,szmb
113626,伯特转债,2021-07-21,215.919,7.9,-12.96,7.806,12.94,4.252,603596,伯特利,shmb
127029,中钢转债,2021-04-23,147.301,7.94,-5.73,8.186,20.47,3.973,000928,中钢国际,szmb
110083,苏租转债,2021-12-10,126.133,8.02,-2.89,49.98,0.72,4.625,600901,江苏金租,shmb
113585,寿仙转债,2020-07-07,239.535,8.24,-20.5,1.001,95.56,3.197,603896,寿仙谷,shmb
127021,特发转2,2020-09-04,157.55,8.84,-13.45,4.158,184.46,2.359,000070,特发信息,szmb
110075,南航转债,2020-11-03,133.573,9.01,-5.54,58.96,1.26,3.548,600029,南方航空,shmb
128044,岭南转债,2018-09-04,131.0,9.06,-12.71,6.568,145.19,1.381,002717,岭南股份,szmb
110077,洪城转债,2020-12-17,126.25,9.19,-3.05,17.672,0.93,3.647,600461,洪城环境,shmb
