bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
110057,现代转债,xdzz,136.725,-1.99,600420,国药现代,gyxd,13.17,-1.57,1.5,9.51,138.49,0,-1.27,135.46,370102,shmb,C,2019-04-30,N,0,0,buy,AAA,,6.66,12.36,9.6,buy,2025-03-31,1.948,12.946,44766.14,28689.32,25.27,-11.58,,0,,,14:59:59,00,R,Y,N,0,0,Y,,2019-10-08 开始转股,计算使用2.0年期 评级为AAA 债参考YTM：2.9130,N,16.16,全价：136.725 最后更新：14:59:59,,,,,buy
123077,汉得转债,hdzz,128.018,1.37,300170,汉得信息,hdxx,12.73,1.68,2.87,9.82,129.63,0,-1.25,126.77,710301,szcy,C,2020-12-15,N,0,0,buy,AA,,6.87,12.77,3.5,buy,2026-11-23,,3.726,37317.11,68266.86,78.74,,,0,"最后交易日：2023年4月24日
最后转股日：2023年4月27日
赎回价：100.43元/张",R,15:34:12,00,R,Y,N,0,0,Y,,2021-05-27 开始转股,强赎登记日2023-04-24，赎回价格100.430元，如不考虑强赎纯债价值为109.44元，计算使用3.6年期 评级为AA 债参考YTM：3.7199,N,9.37,全价：128.018 最后更新：15:34:12,2023-04-24,100.430,如不考虑强赎期权价值为63.47元,,buy
123118,惠城转债,hczz,206.4,-2.92,300779,惠城环保,hchb,35.51,-2.07,5.27,17.06,208.15,0,-0.84,205.56,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,6.4,buy,2027-07-06,4.214,2.119,34119.16,12781.35,76.72,-12.11,,0,本次（2023年3月13日至2023年3月31日）不提前赎回，自2023年6月30日后首个交易日重新计算,G,15:34:30,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.3年期 评级为A+ 债参考YTM：8.6443,N,3.2,全价：206.400 最后更新：15:34:30,,,,,buy
127069,小熊转债,xxzz,156.758,-0.63,002959,小熊电器,xxdq,87.17,-0.72,5.75,55.23,157.83,0,-0.68,156.08,330301,szmb,C,2022-09-07,N,0,0,buy,AA-,,38.66,71.8,3.9,buy,2028-08-12,5.318,5.263,45906.87,38968.36,55.19,-4.83,,0,,,15:34:54,00,,Y,N,0,0,Y,,2023-02-20 开始转股,计算使用5.4年期 评级为AA- 债参考YTM：6.3981,N,5.36,全价：156.758 最后更新：15:34:54,,,,,buy
127021,特发转2,tfz2,132.99,1.38,000070,特发信息,tfxx,9.81,0.72,4.47,7.33,133.83,0,-0.63,132.36,730205,szmb,C,2020-09-04,N,0,0,buy,AA,,5.13,9.53,3.3,buy,2025-08-06,,2.699,62463.23,58602.89,172.8,,,0,"最后交易日：2023年5月5日
最后转股日：2023年5月10日
赎回价：100.76元/张",R,15:34:21,00,R,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-02-18 开始转股,强赎登记日2023-05-05，赎回价格100.760元，如不考虑强赎纯债价值为104.64元，计算使用2.3年期 评级为AA 债参考YTM：3.1983,N,5.5,全价：132.990 最后更新：15:34:21,2023-05-05,100.760,如不考虑强赎期权价值为58.95元,,buy
111006,嵘泰转债,rtzz,104.132,-2.47,605133,嵘泰股份,rtgf,28.6,-2.56,2.7,27.34,104.61,0,-0.46,103.67,280203,shmb,C,2022-09-21,N,0,0,buy,AA-,,19.14,35.54,22.8,buy,2028-08-11,,3.276,20444.43,7814.01,59.64,,,0,"最后交易日：2023年5月4日
最后转股日：2023年5月9日
赎回价：100.224元/张",R,15:00:00,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2023-02-17 开始转股,强赎登记日2023-05-04，赎回价格100.224元，如不考虑强赎纯债价值为87.09元，计算使用5.4年期 评级为AA- 债参考YTM：6.3981,N,6.507,全价：104.132 最后更新：15:00:00,2023-05-04,100.224,如不考虑强赎期权价值为63.74元,,buy
113595,花王转债,hwzz,126.265,-1.67,603007,ST花王,sthw,5.67,-2.58,4.24,4.48,126.56,0,-0.24,126.03,620307,shmb,C,2020-08-18,N,0,0,buy,B+,,3.14,5.83,14.4,buy,2026-07-20,3.252,2.77,25498.02,6142.1,72.18,-0.57,,0,,,14:59:58,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-01-27 开始转股,,N,3.3,全价：126.265 最后更新：14:59:58,,,,,buy
123116,万兴转债,wxzz,217.32,20.0,300624,万兴科技,wxkj,108.05,20.0,15.68,49.79,217.01,0,0.14,217.46,710402,szcy,C,2021-07-01,N,0,0,buy,A+,,34.85,64.73,2.0,buy,2027-06-08,,2.534,770663.65,184335.26,1526.24,,,0,"最后交易日：2023年5月12日
最后转股日：2023年5月17日
赎回价：100.66元/张",R,15:34:24,00,,Y,N,0,0,Y,,2021-12-16 开始转股,强赎登记日2023-05-12，赎回价格100.660元，如不考虑强赎纯债价值为86.69元，计算使用4.2年期 评级为A+ 债参考YTM：8.6295,N,3.788,全价：217.320 最后更新：15:34:24,2023-05-12,100.660,如不考虑强赎期权价值为151.62元,,buy
110053,苏银转债,syzz,125.671,-0.15,600919,江苏银行,jsyh,7.47,-0.13,0.54,5.97,125.13,0,0.44,126.11,480401,shmb,C,2019-04-03,N,0,0,buy,AAA,,,7.76,18.2,buy,2025-03-13,1.899,199.98,32107.49,84262.23,1.28,-4.86,,0,,,14:59:51,00,R,Y,N,0,0,Y,,2019-09-20 开始转股,计算使用1.9年期 评级为AAA 债参考YTM：2.8951,N,200.0,全价：125.671 最后更新：14:59:51,,,,,buy
127058,科伦转债,klzz,181.59,-0.62,002422,科伦药业,klyy,29.98,0.0,2.8,16.65,180.06,0,0.85,182.44,370102,szmb,C,2022-04-20,N,0,0,buy,AA+,,11.66,21.65,6.0,buy,2028-03-18,4.915,20.949,17631.77,38596.77,4.61,-9.43,,0,本次（2022年9月29日至2022年10月28日）不提前赎回，至2023年10月28日均不行使提前赎回权利,G,15:34:15,00,R,Y,N,0,0,Y,,2022-09-26 开始转股,计算使用5.0年期 评级为AA+ 债参考YTM：3.4619,N,30.0,全价：181.590 最后更新：15:34:15,,,,,buy
