fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
159601,A50,-,0.60,0.50,0.10,260.0,华夏基金,https://www.chinaamc.com/fund/159601/index.shtml,Y,,,499439,,38.11,1.01,0.763,5117.32,2023-06-12,13:55:00,0.39,0.7638,13:54:57,-0.11,0.7610,2023-06-09,中国A50互联互通,0.37,2023-06-12,0,0,-,-
159602,中国A50,-,0.60,0.50,0.10,200.0,南方基金,http://www.nffund.com/main/jjcp/fundproduct/159602.shtml,Y,,,185654,,14.13,0.00,0.761,1864.82,2023-06-12,13:54:57,0.53,0.7625,13:54:57,-0.20,0.7597,2023-06-09,中国A50互联互通,0.37,2023-06-12,0,0,-,-
159603,双创天弘,-,0.60,0.50,0.10,100.0,天弘基金,http://www.thfund.com.cn/fundinfo/159603,Y,,,226507,,19.46,-0.01,0.859,334.97,2023-06-12,13:55:00,0.35,0.8603,13:54:57,-0.15,0.8573,2023-06-09,科创创业50,0.34,2023-06-12,0,0,-,-
159606,500成长,-,0.60,0.50,0.10,100.0,易方达,https://www.efunds.com.cn/fund/159606.shtml,Y,,,68322,,5.55,-0.01,0.812,393.45,2023-06-12,13:55:00,0.87,0.8142,13:54:57,-0.27,0.8045,2023-06-09,500质量,1.22,2023-06-12,0,0,-,-
159608,稀有金属,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159608&fromSearch=1,Y,,,33201,,2.25,0.00,0.677,701.91,2023-06-12,13:55:00,-0.29,0.6781,13:54:57,-0.16,0.6783,2023-06-09,CS稀金属,-0.04,2023-06-12,0,0,-,-
159609,光伏龙头,-,0.60,0.50,0.10,0.0,浦银安盛,https://www.py-axa.com/productDetails?fundCode=159609,Y,,,44490,,2.99,0.00,0.671,1572.18,2023-06-12,13:54:57,1.51,0.6735,13:54:57,-0.37,0.6647,2023-06-09,光伏产业,1.30,2023-06-12,0,0,-,-
159610,500增强,000905,0.60,0.50,0.10,100.0,景顺长城,http://www.igwfmc.com/main/jjcp/product/159610/detail.html,Y,,,61057,,5.02,0.00,0.823,1724.65,2023-06-12,13:54:42,0.73,0.8226,13:54:57,0.05,0.8185,2023-06-09,中证500,0.51,2023-06-12,0,0,-,-
159611,电力ETF,-,0.60,0.50,0.10,80.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=159611&fromSearch=1,Y,,,278716,,25.89,0.20,0.929,10845.48,2023-06-12,13:55:00,-1.69,0.9281,13:54:57,0.09,0.9442,2023-06-09,电力指数,-1.67,2023-06-12,0,0,-,-
159613,嘉实信安,399994,0.60,0.50,0.10,100.0,嘉实基金,https://www.jsfund.cn/main/fund/159613/fundManager.shtml,Y,,,12159,,1.16,-0.04,0.951,722.49,2023-06-12,13:54:57,0.00,0.9506,13:54:57,0.04,0.9510,2023-06-09,信息安全,-0.05,2023-06-12,0,0,-,-
159616,农牧ETF,-,0.60,0.50,0.10,100.0,建信基金,https://www.ccbfund.cn/fund_info/info.jspx?fundCode=159616,Y,,,13356,,1.02,0.01,0.766,240.33,2023-06-12,13:54:27,0.79,0.7654,13:54:57,0.08,0.7601,2023-06-09,农牧主题,0.70,2023-06-12,0,0,-,-
