今日(2023-06-20)共有0支新债上市,目前市面上活跃转债数量为496支
今日转股价变化监控：
113604.SH 多伦转债转股价昨日为10.4,今日为10.33,变化幅度为-0.67%
113643.SH 风语转债转股价昨日为15.26,今日为15.23,变化幅度为-0.2%
118026.SH 利元转债转股价昨日为174.87,今日为124.62,变化幅度为-28.74%
110089.SH 兴发转债转股价昨日为39.54,今日为38.55,变化幅度为-2.5%
113667.SH 春23转债转股价昨日为10.4,今日为10.3,变化幅度为-0.96%
118006.SH 阿拉转债转股价昨日为39.88,今日为39.86,变化幅度为-0.05%
128142.SZ 新乳转债转股价昨日为18.4,今日为18.32,变化幅度为-0.43%
128135.SZ 洽洽转债转股价昨日为59.18,今日为58.18,变化幅度为-1.69%
128070.SZ 智能转债转股价昨日为9.42,今日为9.39,变化幅度为-0.32%
128095.SZ 恩捷转债转股价昨日为64.62,今日为66.64,变化幅度为3.13%
113606.SH 荣泰转债转股价昨日为32.15,今日为31.66,变化幅度为-1.52%
123151.SZ 康医转债转股价昨日为28.22,今日为28.1,变化幅度为-0.43%
128063.SZ 未来转债转股价昨日为8.61,今日为8.58,变化幅度为-0.35%
113565.SH 宏辉转债转股价昨日为7.64,今日为5.85,变化幅度为-23.43%
113653.SH 永22转债转股价昨日为22.79,今日为22.59,变化幅度为-0.88%
113577.SH 春秋转债转股价昨日为10.75,今日为10.65,变化幅度为-0.93%
