今日(2023-06-21)共有0支新债上市,目前市面上活跃转债数量为496支
今日转股价变化监控：
128137.SZ 洁美转债转股价昨日为27.05,今日为26.95,变化幅度为-0.37%
113624.SH 正川转债转股价昨日为46.38,今日为46.32,变化幅度为-0.13%
123191.SZ 智尚转债转股价昨日为12.33,今日为12.17,变化幅度为-1.3%
113050.SH 南银转债转股价昨日为9.64,今日为9.11,变化幅度为-5.5%
113573.SH 纵横转债转股价昨日为18.75,今日为18.7,变化幅度为-0.27%
113625.SH 江山转债转股价昨日为73.53,今日为55.04,变化幅度为-25.15%
127084.SZ 柳工转2转股价昨日为7.87,今日为7.77,变化幅度为-1.27%
123075.SZ 贝斯转债转股价昨日为23.56,今日为15.44,变化幅度为-34.47%
123050.SZ 聚飞转债转股价昨日为4.98,今日为4.88,变化幅度为-2.01%
127059.SZ 永东转2转股价昨日为8.65,今日为8.63,变化幅度为-0.23%
123146.SZ 中环转2转股价昨日为7.47,今日为7.42,变化幅度为-0.67%
113663.SH 新化转债转股价昨日为32.41,今日为31.86,变化幅度为-1.7%
123132.SZ 回盛转债转股价昨日为28.01,今日为27.71,变化幅度为-1.07%

