代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数
600006,东风汽车,2023-03-31,2,995.0862,0.5,-153.0,0.57,2
600007,中国国贸,2023-03-31,1,493.2144,0.49,0.0,0.49,1
600008,首创环保,2023-03-31,3,5396.3183,0.74,530.52,0.66,2
600009,上海机场,2023-03-31,1,986.0111,0.4,-43.66,0.41,1
600010,包钢股份,2023-03-31,1,17756.66,0.39,-400.86,0.4,1
600012,皖通高速,2023-03-31,1,312.9698,0.19,-665.532,0.59,2
600026,中远海能,2023-03-31,2,4460.6791,0.94,2605.1367,0.39,1
600028,中国石化,2023-03-31,1,10536.7876,0.09,-919.2,0.1,1
600030,中信证券,2023-03-31,1,20855.6168,1.41,775.7135,1.35,1
600037,歌华有线,2023-03-31,1,696.1564,0.5,-288.32,0.71,1
600038,中直股份,2023-03-31,3,1531.6646,2.6,37.49,2.53,3
600054,黄山旅游,2023-03-31,1,314.3203,0.43,-760.4868,1.47,3
600055,万东医疗,2023-03-31,1,735.9015,1.05,101.96,0.9,1
600056,中国医药,2023-03-31,1,437.9917,0.29,-56.66,0.33,1
600057,厦门象屿,2023-03-31,2,3934.3359,1.74,-173.0945,1.82,2
600059,古越龙山,2023-03-31,1,696.5767,0.76,178.65,0.57,1
600060,海信视像,2023-03-31,5,9771.5881,7.47,-164.8894,7.6,6
600061,国投资本,2023-03-31,1,5511.5561,0.86,-3260.2252,1.37,2
600062,华润双鹤,2023-03-31,1,234.946,0.23,-52.97,0.28,1
600063,皖维高新,2023-03-31,1,981.6773,0.45,981.6773,0.0,0
600064,南京高科,2023-03-31,1,1400.0086,0.81,1400.0086,0.0,0
600066,宇通客车,2023-03-31,1,1314.0116,0.59,-727.0009,0.92,2
600072,中船科技,2023-03-31,1,319.076,0.43,-142.43,0.63,1
600073,上海梅林,2023-03-31,1,954.9678,1.02,595.7578,0.38,1
600075,新疆天业,2023-03-31,2,1393.0136,0.82,-712.6773,1.23,3
600077,*ST宋都,2023-03-31,1,438.3915,0.33,438.3915,0.0,0
600079,人福医药,2023-03-31,4,5541.2822,3.39,-1073.7401,4.05,5
600081,东风科技,2023-03-31,1,67.85,0.14,67.85,0.0,0
600082,海泰发展,2023-03-31,1,400.94,0.62,400.94,0.0,0
600085,同仁堂,2023-03-31,5,9663.8968,7.05,397.4943,6.76,4
601975,招商南油,2023-03-31,2,15675.9853,3.23,574.9986,3.11,3
600095,湘财股份,2023-03-31,2,2500.1151,0.87,1137.3054,0.48,1
600096,云天化,2023-03-31,1,761.1337,0.41,-306.36,0.58,1
600097,开创国际,2023-03-31,2,310.18,1.29,168.03,0.59,1
600105,永鼎股份,2023-03-31,1,428.04,0.3,-19.31,0.32,1
600108,亚盛集团,2023-03-31,1,491.1231,0.25,491.1231,0.0,0
600109,国金证券,2023-03-31,2,8381.8472,2.25,306.1108,2.17,2
600110,诺德股份,2023-03-31,3,2548.0261,1.46,514.45,1.16,3
600111,北方稀土,2023-03-31,4,4056.0818,1.12,-94.36,1.15,4
600118,中国卫星,2023-03-31,5,2141.9895,1.81,942.1664,1.01,3
600119,长江投资,2023-03-31,1,201.19,0.55,201.19,0.0,0
600121,郑州煤电,2023-03-31,3,1664.6141,1.37,-482.476,1.76,3
600123,兰花科创,2023-03-31,3,1790.4897,1.57,-443.9084,1.96,3
600125,铁龙物流,2023-03-31,2,914.1901,0.7,914.1901,0.0,0
600126,杭钢股份,2023-03-31,1,947.813,0.28,-229.8,0.35,1
600129,太极集团,2023-03-31,5,3415.255,6.13,-889.9918,7.73,5
600131,国网信通,2023-03-31,2,4599.5891,3.82,-888.15,4.56,3
600132,重庆啤酒,2023-03-31,4,1726.9822,3.57,-319.4042,4.23,6
600137,浪莎股份,2023-03-31,1,51.36,0.53,51.36,0.0,0
600138,中青旅,2023-03-31,2,1353.6181,1.87,-1298.5004,3.66,4
600151,航天机电,2023-03-31,1,1263.8952,0.88,258.1368,0.7,1
600153,建发股份,2023-03-31,3,9774.5788,3.25,3462.2311,2.1,2
600157,永泰能源,2023-03-31,1,21843.7822,0.98,-22246.086,1.98,2
600160,巨化股份,2023-03-31,2,3452.064,1.28,2326.068,0.42,1
600161,天坛生物,2023-03-31,2,4214.2713,2.56,-288.1793,2.73,2
600163,中闽能源,2023-03-31,1,697.9823,0.37,128.33,0.3,1
600168,武汉控股,2023-03-31,1,244.7542,0.34,53.65,0.27,1
600170,上海建工,2023-03-31,1,4645.9194,0.52,-6374.6233,1.24,2
600171,上海贝岭,2023-03-31,4,2012.4433,2.83,55.1553,2.75,4
600173,卧龙地产,2023-03-31,1,677.22,0.97,677.22,0.0,0
600176,中国巨石,2023-03-31,1,1928.136,0.48,-371.1,0.57,1
600177,雅戈尔,2023-03-31,1,4483.2275,0.97,-189.9397,1.01,1
600178,东安动力,2023-03-31,1,202.23,0.43,202.23,0.0,0
600185,格力地产,2023-03-31,1,744.1158,0.39,141.9,0.32,1
600188,兖矿能源,2023-03-31,3,2858.885,0.58,-2494.6677,1.08,4
600195,中牧股份,2023-03-31,5,6111.5608,5.98,3366.058,2.69,4
600196,复星医药,2023-03-31,3,4160.7281,1.56,71.5034,1.53,5
600197,伊力特,2023-03-31,7,3900.1948,8.26,1070.8854,5.99,3
600199,金种子酒,2023-03-31,2,3191.4494,4.85,-527.685,5.65,4
600200,江苏吴中,2023-03-31,3,1505.88,2.11,1505.88,0.0,0
600201,生物股份,2023-03-31,3,3792.3287,3.38,1828.3806,1.75,2
600206,有研新材,2023-03-31,2,1053.46,1.24,-373.58,1.69,3
600208,新湖中宝,2023-03-31,1,2823.567,0.33,-726.973,0.41,1
600210,紫江企业,2023-03-31,1,1066.95,0.7,0.0,0.7,1
600211,西藏药业,2023-03-31,2,446.1023,1.8,446.1023,0.0,0
600212,绿能慧充,2023-03-31,6,3016.7931,5.9,210.83,5.48,5
600213,亚星客车,2023-03-31,1,74.54,0.26,7.47,0.23,1
600216,浙江医药,2023-03-31,3,2293.8306,2.38,246.8237,2.12,3
600217,中再资环,2023-03-31,1,1749.81,1.26,1749.81,0.0,0
600219,南山铝业,2023-03-31,1,10633.2064,0.91,-100.0,0.92,1
600230,沧州大化,2023-03-31,1,131.37,0.31,-574.1353,1.69,2
600232,金鹰股份,2023-03-31,1,226.23,0.62,9.2,0.6,1
600235,民丰特纸,2023-03-31,3,551.02,1.57,315.61,0.67,1
600237,铜峰电子,2023-03-31,1,254.24,0.45,-1802.9895,3.65,6
600238,海南椰岛,2023-03-31,1,280.5892,0.63,-27.0708,0.69,2
600246,万通发展,2023-03-31,1,674.6089,0.33,116.567,0.27,1
600248,陕西建工,2023-03-31,1,1274.11,0.35,-371.1,0.45,1
600250,南纺股份,2023-03-31,1,208.35,0.67,-18.65,0.73,1
600256,广汇能源,2023-03-31,3,26318.4082,4.01,7927.6651,2.8,2
600258,首旅酒店,2023-03-31,2,1971.8315,1.76,-2353.7993,3.87,5
600259,广晟有色,2023-03-31,2,214.5083,0.64,-84.209,0.89,2
600261,阳光照明,2023-03-31,2,5553.4784,3.93,276.7278,3.73,2
600266,城建发展,2023-03-31,1,1349.9956,0.6,1349.9956,0.0,0
600267,海正药业,2023-03-31,1,301.7062,0.26,301.7062,0.0,0
600276,恒瑞医药,2023-03-31,2,11182.7943,1.75,798.3565,1.63,2
600277,亿利洁能,2023-03-31,1,2909.9766,0.82,2909.9766,0.0,0
600278,东方创业,2023-03-31,1,234.0256,0.26,17.97,0.24,1
600282,南钢股份,2023-03-31,2,15343.2193,2.49,-1053.6496,2.66,2
600285,羚锐制药,2023-03-31,3,3761.6053,6.63,-79.66,6.77,3
600298,安琪酵母,2023-03-31,3,2023.6517,2.33,-304.791,2.68,3
600299,安迪苏,2023-03-31,2,685.5495,0.26,-35.36,0.27,2
600301,南化股份,2023-03-31,3,783.28,1.32,783.28,0.0,0
600305,恒顺醋业,2023-03-31,1,309.53,0.31,-441.674,0.75,2
600307,酒钢宏兴,2023-03-31,2,3217.3063,0.51,-1552.9728,0.76,3
600312,平高电气,2023-03-31,2,3784.7341,2.79,741.5421,2.24,1
600313,农发种业,2023-03-31,4,2431.9931,2.25,-402.89,2.62,4
600315,上海家化,2023-03-31,4,2368.8634,3.49,-85.2205,3.61,4
600316,洪都航空,2023-03-31,7,2842.8946,3.96,-700.276,4.94,7
600318,新力金融,2023-03-31,1,731.8953,1.43,238.1553,0.96,1
600327,大东方,2023-03-31,2,913.2207,1.03,-698.777,1.82,2
600329,达仁堂,2023-03-31,1,505.6541,0.65,505.6541,0.0,0
600330,天通股份,2023-03-31,2,2030.5361,1.65,2030.5361,0.0,0
600338,西藏珠峰,2023-03-31,4,3747.6159,4.1,-254.82,4.38,4
600339,中油工程,2023-03-31,1,1009.8761,0.18,-461.5773,0.26,1
600345,长江通信,2023-03-31,1,196.36,0.99,196.36,0.0,0
600350,山东高速,2023-03-31,2,7542.9448,1.56,84.373,1.55,2
600360,华微电子,2023-03-31,1,802.3035,0.84,62.16,0.77,1
600362,江西铜业,2023-03-31,1,324.8629,0.09,-324.4494,0.19,2
600363,联创光电,2023-03-31,1,342.8801,0.75,342.8801,0.0,0
600369,西南证券,2023-03-31,1,6939.3828,1.04,6939.3828,0.0,0
600371,万向德农,2023-03-31,4,1737.3308,5.94,-187.71,6.58,6
600372,中航电子,2023-03-31,4,3250.8349,1.7,-104.7989,1.74,3
600373,中文传媒,2023-03-31,2,2075.3817,1.53,-328.5444,1.77,3
600376,首开股份,2023-03-31,1,3997.6089,1.55,-185.2415,1.62,1
600377,宁沪高速,2023-03-31,1,3058.7223,0.61,-132.6133,0.63,1
600378,昊华科技,2023-03-31,3,3792.7018,4.16,97.5099,4.05,3
600380,健康元,2023-03-31,2,1301.0694,0.67,495.04,0.42,1
600383,金地集团,2023-03-31,1,3202.4191,0.71,-6445.2211,2.14,2
600386,北巴传媒,2023-03-31,1,362.03,0.45,12.03,0.43,1
600389,江山股份,2023-03-31,1,217.7107,0.71,-76.8536,0.96,1
600391,航发科技,2023-03-31,3,1505.7805,4.56,11.9368,4.53,4
600395,盘江股份,2023-03-31,2,5481.3395,2.55,-177.8889,2.64,2
600397,安源煤业,2023-03-31,3,2605.3297,2.63,-572.14,3.21,3
600398,海澜之家,2023-03-31,3,13028.6168,3.02,953.4575,2.8,3
600399,抚顺特钢,2023-03-31,5,13245.0772,6.72,-2020.4378,7.74,6
600416,湘电股份,2023-03-31,3,2982.9022,2.25,94.261,2.18,3
600418,江淮汽车,2023-03-31,2,4029.9913,1.85,1286.0826,1.26,2
600419,天润乳业,2023-03-31,4,2986.1433,9.33,695.268,7.15,4
600422,昆药集团,2023-03-31,3,6133.5292,8.09,1732.791,5.8,2
600426,华鲁恒升,2023-03-31,3,9512.9716,4.48,-2091.3627,5.47,4
600428,中远海特,2023-03-31,4,5964.47,2.78,4259.6351,0.79,2
600448,华纺股份,2023-03-31,1,407.04,0.65,16.63,0.62,1
600456,宝钛股份,2023-03-31,3,950.4346,1.99,74.5312,1.83,3
600458,时代新材,2023-03-31,3,3442.5075,4.29,2745.9375,0.87,1
600466,*ST蓝光,2023-03-31,1,1594.134,0.53,302.524,0.43,1
600486,扬农化工,2023-03-31,4,1693.655,5.47,1.84,5.46,4
600488,津药药业,2023-03-31,1,176.42,0.16,176.42,0.0,0
600496,精工钢构,2023-03-31,3,4396.7653,2.18,-184.9613,2.28,3
600498,烽火通信,2023-03-31,2,836.3906,0.7,-632.3479,1.24,3
600500,中化国际,2023-03-31,2,1288.8238,0.36,226.186,0.3,1
600503,华丽家族,2023-03-31,1,1051.66,0.66,198.9,0.53,1
600508,上海能源,2023-03-31,2,576.0858,0.8,-671.094,1.73,4
600509,天富能源,2023-03-31,4,3852.4,3.35,1133.73,2.36,4
600511,国药股份,2023-03-31,5,2599.5022,3.45,2033.1637,0.75,2
600512,腾达建设,2023-03-31,1,1372.0727,0.86,1372.0727,0.0,0
600516,方大炭素,2023-03-31,1,1239.6253,0.31,-253.29,0.39,1
