,113567.SH,123105.SZ,128145.SZ,128040.SZ,123060.SZ,123125.SZ,113525.SH,128029.SZ,123123.SZ,128022.SZ,128069.SZ,128015.SZ,110056.SH,123139.SZ,123110.SZ,113642.SH,110038.SH,128046.SZ,128073.SZ,123027.SZ,113635.SH,123137.SZ,118001.SH,113502.SH,123023.SZ,123062.SZ,123097.SZ,127048.SZ,113620.SH,123045.SZ,123086.SZ,123084.SZ,128139.SZ,123073.SZ,113548.SH,113630.SH,123070.SZ,113599.SH,128013.SZ,128107.SZ,110071.SH,127013.SZ,113541.SH,113568.SH,127003.SZ,113550.SH,118002.SH,113036.SH,123024.SZ,110066.SH,113026.SH,128093.SZ,128103.SZ,123111.SZ,128096.SZ,123042.SZ,128094.SZ,127011.SZ,128113.SZ,123043.SZ,128050.SZ,113034.SH,113009.SH,110034.SH,113536.SH,123053.SZ,113607.SH,113528.SH,123081.SZ,110051.SH,123074.SZ,113614.SH,113603.SH,123028.SZ,128057.SZ,113580.SH,123102.SZ,123069.SZ,110033.SH,110041.SH,128018.SZ,123047.SZ,123051.SZ,123068.SZ,113014.SH,113572.SH,123030.SZ,113612.SH,123079.SZ,128051.SZ,123094.SZ,113012.SH,113508.SH,123033.SZ,128064.SZ,113509.SH,123066.SZ,123007.SZ,113040.SH,113611.SH,128032.SZ,127023.SZ,113543.SH,123058.SZ,110065.SH,113041.SH,113559.SH,110031.SH,113564.SH,128126.SZ,113557.SH,110069.SH,113038.SH,128052.SZ,113029.SH,113590.SH,113592.SH,128028.SZ,113583.SH,127008.SZ,128112.SZ,128065.SZ,128010.SZ,123055.SZ,123017.SZ,128115.SZ,113587.SH,128110.SZ,113035.SH,113556.SH,113586.SH,113008.SH,113032.SH,113520.SH,128019.SZ,128104.SZ,128102.SZ,113562.SH,123026.SZ,113581.SH,123036.SZ,113553.SH,113555.SH,123032.SZ,113020.SH,113521.SH,128058.SZ,128099.SZ,113571.SH,128098.SZ,128067.SZ,128043.SZ,113028.SH,113544.SH,128092.SZ,113547.SH,113554.SH,123037.SZ,128084.SZ,110042.SH,113019.SH,123020.SZ,113031.SH,113514.SH,113518.SH,123041.SZ,128045.SZ,128086.SZ,113022.SH,123040.SZ,128088.SZ,113558.SH,128089.SZ,128059.SZ,113552.SH,128080.SZ,113551.SH,128077.SZ,128054.SZ,113515.SH,113511.SH,113503.SH,128012.SZ,113531.SH,123021.SZ,110050.SH,128055.SZ,113517.SH,128016.SZ,123019.SZ,113510.SH,113540.SH,110046.SH,123009.SZ,110054.SH,128038.SZ,123016.SZ,113539.SH,128061.SZ,113522.SH,113538.SH,128060.SZ,123003.SZ,113523.SH,128068.SZ,128020.SZ,113533.SH,110049.SH,110030.SH,113529.SH,113507.SH,128047.SZ,127009.SZ,123001.SZ,128027.SZ,127010.SZ,113015.SH,128024.SZ,110040.SH,113513.SH,113018.SH,123006.SZ,113506.SH,123008.SZ,113512.SH,110032.SH,113010.SH,123005.SZ,110039.SH,128011.SZ,128009.SZ,110035.SH,113501.SH,113007.SH,110023.SH,128007.SZ,128008.SZ,125089.SZ,126729.SZ,110029.SH,128002.SZ,128005.SZ,110012.SH,113006.SH,110011.SH,110019.SH,110028.SH,128006.SZ,110020.SH,113001.SH,110022.SH,110018.SH,110027.SH,113002.SH,110015.SH,110017.SH,127002.SZ,113005.SH,110025.SH,128004.SZ,110024.SH,113003.SH,128003.SZ,128001.SZ,110007.SH,110016.SH,125887.SZ,110003.SH,129031.SZ,125731.SZ,110009.SH
2017-01-03,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.567123287671233,6.0,6.0,6.0,6.0,6.0,5.427397260273972,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.057377049180328,5.038251366120218,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.838356164383562,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.446575342465754,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.156164383561644,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.081967213114754,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.293150684931507,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.9753424657534246,6.0,6.0,6.0,6.0,2.7835616438356166,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.2246575342465755,2.1311475409836067,6.0,6.0,0.5972602739726027,0.4876712328767123,0.4410958904109589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21095890410958903,,,,,
2017-01-04,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.564383561643836,6.0,6.0,6.0,6.0,6.0,5.424657534246576,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.054644808743169,5.03551912568306,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.835616438356165,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.443835616438356,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.153424657534247,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.079234972677596,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.2904109589041095,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.9726027397260273,6.0,6.0,6.0,6.0,2.780821917808219,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.221917808219178,2.128415300546448,6.0,6.0,0.5945205479452055,0.4849315068493151,0.4383561643835616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20821917808219179,,,,,
2017-01-05,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.561643835616438,6.0,6.0,6.0,6.0,6.0,5.421917808219178,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.051912568306011,5.032786885245901,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.832876712328767,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.441095890410959,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.1506849315068495,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.076502732240437,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.287671232876712,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.96986301369863,6.0,6.0,6.0,6.0,2.778082191780822,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.219178082191781,2.1256830601092895,6.0,6.0,0.5917808219178082,0.4821917808219178,0.43561643835616437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2054794520547945,,,,,
2017-01-06,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.558904109589041,6.0,6.0,6.0,6.0,6.0,5.419178082191781,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.049180327868853,5.030054644808743,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.83013698630137,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.438356164383562,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.147945205479452,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.073770491803279,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.284931506849315,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.967123287671233,6.0,6.0,6.0,6.0,2.7753424657534245,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.2164383561643834,2.122950819672131,6.0,6.0,0.589041095890411,0.4794520547945205,0.4328767123287671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20273972602739726,,,,,
2017-01-09,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.550684931506849,6.0,6.0,6.0,6.0,6.0,5.410958904109589,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.040983606557377,5.021857923497268,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.821917808219178,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.4301369863013695,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.13972602739726,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.065573770491803,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.276712328767124,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.958904109589041,6.0,6.0,6.0,6.0,2.767123287671233,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.208219178082192,2.1147540983606556,6.0,6.0,0.5808219178082191,0.4712328767123288,0.4246575342465753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19452054794520549,,,,,
2017-01-10,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5479452054794525,6.0,6.0,6.0,6.0,6.0,5.4082191780821915,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.038251366120218,5.01912568306011,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.8191780821917805,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.427397260273972,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.136986301369863,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.062841530054645,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.273972602739726,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.956164383561644,6.0,6.0,6.0,6.0,2.7643835616438355,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.2054794520547945,2.112021857923497,6.0,6.0,0.5780821917808219,0.4684931506849315,0.42191780821917807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1917808219178082,,,,,
2017-01-11,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.545205479452055,6.0,6.0,6.0,6.0,6.0,5.405479452054794,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.03551912568306,5.016393442622951,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.816438356164383,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.424657534246576,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.134246575342466,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.060109289617486,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.271232876712329,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.9534246575342467,6.0,6.0,6.0,6.0,2.7616438356164386,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.202739726027397,2.109289617486339,6.0,6.0,0.5753424657534246,0.4657534246575342,0.4191780821917808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18904109589041096,,,,,
2017-01-12,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.542465753424658,6.0,6.0,6.0,6.0,6.0,5.402739726027397,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.032786885245901,5.0136612021857925,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.813698630136987,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.421917808219178,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.131506849315069,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.057377049180328,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.2684931506849315,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.9506849315068493,6.0,6.0,6.0,6.0,2.758904109589041,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.2,2.1065573770491803,6.0,6.0,0.5726027397260274,0.46301369863013697,0.41643835616438357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1863013698630137,,,,,
2017-01-13,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.53972602739726,6.0,6.0,6.0,6.0,6.0,5.4,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.030054644808743,5.0109289617486334,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.810958904109589,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.419178082191781,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.1287671232876715,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.054644808743169,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.265753424657534,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.947945205479452,6.0,6.0,6.0,6.0,2.756164383561644,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.197260273972603,2.1038251366120218,6.0,6.0,0.5698630136986301,0.4602739726027397,0.4136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18356164383561643,,,,,
2017-01-16,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.531506849315068,6.0,6.0,6.0,6.0,6.0,5.391780821917808,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.021857923497268,5.002732240437158,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.802739726027397,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.410958904109589,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.120547945205479,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.046448087431694,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.257534246575342,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.9397260273972603,6.0,6.0,6.0,6.0,2.747945205479452,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.1890410958904107,2.0956284153005464,6.0,6.0,0.5616438356164384,0.4520547945205479,0.4054794520547945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17534246575342466,,,,,
