bond_id,bond_nm,list_dt,price,premium_rt,ytm_rt,curr_iss_amt,turnover_rt,year_left,stock_id,stock_nm,market_cd
123098,一品转债,2021-02-23,181.781,-0.16,-10.39,4.047,43.6,3.627,300723,一品红,szcy
123092,天壕转债,2021-01-15,222.202,0.54,-16.22,4.132,2.92,3.529,300332,天壕环境,szcy
123118,惠城转债,2021-07-26,322.95,1.33,-21.8,1.808,56.64,4.063,300779,惠城环保,szcy
110053,苏银转债,2019-04-03,127.5,1.49,-6.07,161.511,0.81,1.748,600919,江苏银行,shmb
118021,新致转债,2022-11-02,218.269,1.7,-11.15,4.848,123.58,5.293,688590,新致软件,shkc
110061,川投转债,2019-12-02,172.613,2.02,-17.52,34.8,3.93,2.411,600674,川投能源,shmb
127069,小熊转债,2022-09-07,161.653,2.07,-5.54,5.08,9.44,5.167,002959,小熊电器,szmb
113044,大秦转债,2021-01-15,115.691,3.07,-0.58,299.872,0.41,3.501,601006,大秦铁路,shmb
113628,晨丰转债,2021-09-17,130.369,3.18,-1.77,4.149,47.39,4.195,603685,晨丰科技,shmb
127058,科伦转债,2022-04-20,187.642,3.4,-10.35,20.342,4.77,4.764,002422,科伦药业,szmb
123164,法本转债,2022-11-14,147.796,3.41,-3.67,6.001,12.58,5.359,300925,法本信息,szcy
113016,小康转债,2017-11-21,157.001,3.86,,1.371,2236.09,,601127,赛力斯,shmb
128081,海亮转债,2019-12-16,127.775,3.91,-4.89,27.864,0.74,2.441,002203,海亮股份,szmb
110068,龙净转债,2020-04-15,173.325,4.04,-14.38,18.759,1.4,2.775,600388,ST龙净,shmb
123014,凯发转债,2018-08-21,133.69,4.39,-175.82,1.157,486.55,0.118,300407,凯发电气,szcy
127065,瑞鹄转债,2022-07-27,173.817,4.59,-7.03,4.392,26.4,5.027,002997,瑞鹄模具,szmb
113534,鼎胜转债,2019-04-30,245.726,4.98,-35.34,3.919,14.25,1.819,603876,鼎胜新材,shmb
123075,贝斯转债,2020-11-23,148.93,5.91,-7.6,5.996,24.05,3.386,300580,贝斯特,szcy
110083,苏租转债,2021-12-10,129.93,6.07,-3.69,47.649,0.65,4.414,600901,江苏金租,shmb
127063,贵轮转债,2022-05-30,132.892,6.31,-3.02,17.996,1.65,4.858,000589,贵州轮胎,szmb
123136,城市转债,2022-02-15,134.961,7.32,,1.797,190.42,,300778,新城市,szcy
128083,新北转债,2019-12-31,131.554,7.43,-5.9,8.768,1.9,2.499,002376,新北洋,szmb
127028,英特转债,2021-03-10,129.844,7.54,-4.07,5.757,3.9,3.562,000411,英特集团,szmb
128111,中矿转债,2020-07-07,565.0,7.71,-40.4,1.1,36.78,2.992,002738,中矿资源,szmb
123150,九强转债,2022-07-20,137.83,8.49,-3.49,11.21,4.39,5.049,300406,九强生物,szcy
123156,博汇转债,2022-09-02,130.939,8.67,-1.5,3.97,2.96,5.178,300839,博汇股份,szcy
110084,贵燃转债,2022-01-18,126.47,9.4,-2.15,9.181,3.15,4.54,600903,贵州燃气,shmb
128025,特一转债,2017-12-28,195.815,9.42,-95.66,2.113,96.67,0.48,002728,特一药业,szmb
127012,招路转债,2019-04-30,125.686,9.66,-9.0,49.998,0.93,1.77,001965,招商公路,szmb
128114,正邦转债,2020-07-15,84.379,9.87,10.91,11.7,51.55,3.008,002157,*ST正邦,szmb
113535,大业转债,2019-06-03,124.29,10.36,-12.76,4.996,10.44,0.901,603278,大业股份,shmb
127006,敖东转债,2018-05-11,124.578,10.55,-21.01,24.064,0.5,0.748,000623,吉林敖东,szmb
110077,洪城转债,2020-12-17,146.366,10.57,-7.36,17.468,1.48,3.436,600461,洪城环境,shmb
128087,孚日转债,2020-01-16,123.001,10.75,-3.97,6.443,2.32,2.512,002083,孚日股份,szmb
113626,伯特转债,2021-07-21,236.811,10.93,-15.58,7.806,10.91,4.041,603596,伯特利,shmb
127036,三花转债,2021-06-30,143.129,11.19,-5.68,29.983,2.93,3.964,002050,三花智控,szmb
128091,新天转债,2020-01-17,190.636,11.47,-17.66,1.525,27.39,2.548,002873,新天药业,szmb
127029,中钢转债,2021-04-23,192.069,11.66,-12.52,7.627,14.44,3.762,000928,中钢国际,szmb
113648,巨星转债,2022-05-17,135.434,11.67,-3.3,9.998,6.16,4.869,603477,巨星农牧,shmb
113595,花王转债,2020-08-18,105.795,11.79,5.38,2.707,14.24,3.101,603007,ST花王,shmb
110052,贵广转债,2019-03-29,152.58,12.07,-15.24,2.883,308.4,1.726,600996,贵广网络,shmb
128082,华锋转债,2020-01-06,154.102,12.47,-10.04,2.015,101.53,2.474,002806,华锋股份,szmb
113631,皖天转债,2021-12-10,124.2,12.71,-1.9,9.299,1.56,4.406,603689,皖天然气,shmb
128121,宏川转债,2020-08-07,130.048,13.06,-4.74,6.699,1.95,3.09,002930,宏川智慧,szmb
128017,金禾转债,2017-11-27,126.0,13.21,-41.38,5.516,2.25,0.384,002597,金禾实业,szmb
110043,无锡转债,2018-03-14,109.805,13.22,-5.5,29.213,0.45,0.63,600908,无锡银行,shmb
128128,齐翔转2,2020-09-15,128.302,13.53,-3.61,6.795,1.4,3.184,002408,齐翔腾达,szmb
128106,华统转债,2020-05-08,195.571,13.94,-18.32,2.869,12.58,2.822,002840,华统股份,szmb
110045,海澜转债,2018-07-31,125.569,13.99,-12.15,29.495,0.69,1.082,600398,海澜之家,shmb
123025,精测转债,2019-04-19,232.15,14.11,-33.02,3.086,63.51,1.789,300567,精测电子,szcy
