bond_id,bond_nm,bond_py,price,increase_rt,stock_id,stock_nm,stock_py,sprice,sincrease_rt,pb,convert_price,convert_value,convert_dt,premium_rt,dblow,sw_cd,market_cd,btype,list_dt,qflag2,owned,hold,bond_value,rating_cd,option_value,put_convert_price,force_redeem_price,convert_amt_ratio,fund_rt,maturity_dt,year_left,curr_iss_amt,volume,svolume,turnover_rt,ytm_rt,put_ytm_rt,noted,bond_nm_tip,redeem_icon,last_time,qstatus,margin_flg,sqflag,pb_flag,adj_cnt,adj_scnt,convert_price_valid,convert_price_tips,convert_cd_tip,ref_yield_info,adjusted,orig_iss_amt,price_tips,redeem_dt,real_force_redeem_price,option_tip,notes,volatility_rate
123098,一品转债,ypzz,171.314,-1.15,300723,一品红,yph,28.89,-1.4,5.86,16.840,171.56,0,-0.14,171.17,370102,szcy,C,2021-02-23,N,0,0,buy,AA-,,11.79,21.89,3.9,buy,2027-01-28,,2.365,5246.61,6304.29,12.96,,,0,"最后交易日：2023年7月19日
最后转股日：2023年7月24日
赎回价：100.488元/张",R,14:40:24,00,,Y,N,0,0,Y,,2021-08-03 开始转股,强赎登记日2023-07-19，赎回价格100.488元，如不考虑强赎纯债价值为100.56元，计算使用3.6年期 评级为AA- 债参考YTM：5.9255,N,4.8,全价：171.314 最后更新：14:40:24,2023-07-19,100.488,如不考虑强赎期权价值为93.00元,,buy
123075,贝斯转债,bszz,151.24,-3.63,300580,贝斯特,bst,23.36,-3.83,3.22,15.440,151.3,0,-0.04,151.2,280203,szcy,C,2020-11-23,N,0,0,buy,AA-,,10.81,20.07,6.0,buy,2026-11-02,3.337,3.952,50341.45,28736.12,83.47,-8.15,,0,,,14:40:24,00,,Y,N,0,0,Y,,2021-05-06 开始转股,计算使用3.4年期 评级为AA- 债参考YTM：5.9009,N,6.0,全价：151.240 最后更新：14:40:24,,,,,buy
113595,花王转债,hwzz,111.59,-0.62,603007,ST花王,sthw,4.95,-1.0,6.13,4.480,110.49,0,1.0,112.59,620307,shmb,C,2020-08-18,N,0,0,buy,B-,,3.14,5.83,16.2,buy,2026-07-21,3.052,2.707,27944.27,3660.6,91.23,3.6,,0,,,14:40:11,00,,Y,N,1,1,Y,转股价下修1次，成功下修1次,2021-01-27 开始转股,,N,3.3,全价：111.590 最后更新：14:40:11,,,,,buy
127036,三花转债,shzz,139.538,-2.56,002050,三花智控,shzk,29.09,-3.87,7.66,21.100,137.87,0,1.21,140.75,330601,szmb,C,2021-06-30,N,0,0,buy,AA+,,14.77,27.43,2.9,buy,2027-06-01,3.915,29.657,35244.09,187938.8,8.36,-5.13,,0,,,14:40:24,00,R,Y,N,0,0,Y,,2021-12-07 开始转股,计算使用4.0年期 评级为AA+ 债参考YTM：3.2545,N,30.0,全价：139.538 最后更新：14:40:24,,,,,buy
110080,东湖转债,dhzz,129.013,2.38,600133,东湖高新,dhgx,7.25,10.02,0.78,5.710,126.97,0,1.61,130.62,620306,shmb,C,2021-05-12,N,0,0,buy,AA,,4.0,7.42,26.9,buy,2027-04-12,3.778,15.491,84255.21,90804.17,42.14,-3.21,,0,,,14:40:25,00,R,Y,Y,0,0,Y,,2021-10-18 开始转股,计算使用3.8年期 评级为AA 债参考YTM：3.5467,N,15.5,全价：129.013 最后更新：14:40:25,,,,,buy
123092,天壕转债,thzz,223.784,-1.56,300332,天壕环境,thhj,11.28,-1.66,2.37,5.140,219.46,0,1.97,225.75,410301,szcy,C,2021-01-15,N,0,0,buy,A+,,3.6,6.68,4.3,buy,2026-12-24,3.48,4.132,3616.85,8726.09,3.86,-16.62,,0,,,14:40:12,00,R,Y,N,0,0,N,2023-06-27 至 2023-07-05 期间暂停转股：权益分派,2021-06-30 开始转股;2023-06-27 至 2023-07-05 期间暂停转股：权益分派,计算使用3.5年期 评级为A+ 债参考YTM：8.3442,N,4.23,全价：223.784 最后更新：14:40:12,,,,,buy
123118,惠城转债,hczz,320.08,0.65,300779,惠城环保,hchb,53.55,0.49,6.88,17.060,313.89,0,1.97,322.05,760103,szcy,C,2021-07-26,N,0,0,buy,A+,,11.94,22.18,3.5,buy,2027-07-07,4.014,1.808,26890.22,16177.52,45.98,-21.88,,0,,,14:40:24,00,,Y,N,0,0,Y,,2022-01-13 开始转股,计算使用4.1年期 评级为A+ 债参考YTM：8.4219,N,3.2,全价：320.080 最后更新：14:40:24,,,,,buy
110053,苏银转债,syzz,126.617,0.72,600919,江苏银行,jsyh,7.41,0.82,0.51,5.970,124.12,0,2.01,128.63,480401,shmb,C,2019-04-03,N,0,0,buy,AAA,,,7.76,14.3,buy,2025-03-14,1.699,155.24,15626.97,42806.47,0.8,-5.86,,0,,,14:40:23,00,R,Y,N,0,0,N,2023-06-19 起暂停转股：权益分派,2019-09-20 开始转股;2023-06-19 起暂停转股：权益分派,计算使用1.7年期 评级为AAA 债参考YTM：2.6412,N,200.0,全价：126.617 最后更新：14:40:23,,,,,buy
110061,川投转债,ctzz,175.05,0.08,600674,川投能源,ctny,15.03,-0.13,1.93,8.800,170.8,0,2.49,177.54,410102,shmb,C,2019-12-02,N,0,0,buy,AAA,,6.16,11.44,5.2,buy,2025-11-11,2.362,34.8,8691.47,14954.08,1.43,-18.36,,0,本次（2022年11月16日至2022年12月9日）不提前赎回，以2023年12月10日为首个交易日重新起算,G,14:40:21,00,R,Y,N,0,0,Y,,2020-05-15 开始转股,计算使用2.4年期 评级为AAA 债参考YTM：2.7388,N,40.0,全价：175.050 最后更新：14:40:21,,,,,buy
127058,科伦转债,klzz,189.137,0.09,002422,科伦药业,klyy,29.59,-0.3,2.63,16.040,184.48,0,2.52,191.66,370102,szmb,C,2022-04-20,N,0,0,buy,AA+,,11.23,20.85,5.8,buy,2028-03-18,4.712,20.342,12040.64,30774.98,3.15,-10.62,,0,本次（2022年9月29日至2022年10月28日）不提前赎回，至2023年10月28日均不行使提前赎回权利,G,14:40:24,00,R,Y,N,0,0,Y,,2022-09-26 开始转股,计算使用4.8年期 评级为AA+ 债参考YTM：3.3666,N,30.0,全价：189.137 最后更新：14:40:24,,,,,buy
