,0
0,600985.SH
1,603113.SH
2,603689.SH
3,300483.SZ
4,300839.SZ
5,000552.SZ
6,000723.SZ
7,600567.SH
8,600231.SH
9,600075.SH
10,600141.SH
11,600370.SH
12,605006.SH
13,605007.SH
14,605166.SH
15,605020.SH
16,605488.SH
17,601677.SH
18,601020.SH
19,601609.SH
20,601636.SH
21,601686.SH
22,601865.SH
23,601208.SH
24,603876.SH
25,603278.SH
26,603499.SH
27,603687.SH
28,603978.SH
29,603979.SH
30,603650.SH
31,603225.SH
32,603733.SH
33,603995.SH
34,603055.SH
35,603585.SH
36,603799.SH
37,603810.SH
38,603916.SH
39,603681.SH
40,603601.SH
41,603867.SH
42,688388.SH
43,688116.SH
44,688179.SH
45,688680.SH
46,688026.SH
47,688323.SH
48,688148.SH
49,688779.SH
50,688186.SH
51,688219.SH
52,688350.SH
53,300057.SZ
54,300539.SZ
55,300655.SZ
56,300587.SZ
57,300665.SZ
58,300586.SZ
59,300429.SZ
60,300398.SZ
61,300196.SZ
62,300641.SZ
63,300779.SZ
64,300243.SZ
65,300798.SZ
66,300305.SZ
67,300727.SZ
68,300037.SZ
69,300041.SZ
70,300876.SZ
71,300891.SZ
72,300224.SZ
73,000789.SZ
74,000761.SZ
75,000688.SZ
76,000060.SZ
77,000703.SZ
78,000401.SZ
79,000301.SZ
80,000902.SZ
81,002225.SZ
82,002969.SZ
83,002895.SZ
84,002988.SZ
85,002381.SZ
86,000708.SZ
87,002753.SZ
88,002398.SZ
89,002996.SZ
90,001203.SZ
91,002709.SZ
92,002455.SZ
93,002998.SZ
94,002224.SZ
95,002787.SZ
96,002631.SZ
97,002228.SZ
98,002842.SZ
99,002846.SZ
100,002203.SZ
101,002002.SZ
102,002812.SZ
103,002171.SZ
104,002738.SZ
105,002838.SZ
106,002749.SZ
107,002408.SZ
108,002067.SZ
109,002734.SZ
110,600326.SH
111,600939.SH
112,600388.SH
113,600577.SH
114,600029.SH
115,600133.SH
116,600885.SH
117,600496.SH
118,600761.SH
119,605222.SH
120,601611.SH
121,601515.SH
122,601006.SH
123,601330.SH
124,603618.SH
125,603569.SH
126,603797.SH
127,603081.SH
128,603320.SH
129,603861.SH
130,603331.SH
131,603679.SH
132,603030.SH
133,603131.SH
134,603007.SH
135,603912.SH
136,603966.SH
137,603956.SH
138,603776.SH
139,603298.SH
140,603112.SH
141,603638.SH
142,603058.SH
143,603992.SH
144,603568.SH
145,603901.SH
146,603535.SH
147,603713.SH
148,603757.SH
149,603176.SH
150,688059.SH
151,688556.SH
152,688096.SH
153,688328.SH
154,688676.SH
155,688301.SH
156,688499.SH
157,300388.SZ
158,300197.SZ
159,300422.SZ
160,300407.SZ
161,300265.SZ
162,300545.SZ
163,300427.SZ
164,300527.SZ
165,300190.SZ
166,300424.SZ
167,300021.SZ
168,300382.SZ
169,300569.SZ
170,300517.SZ
171,300040.SZ
172,300607.SZ
173,300767.SZ
