今日(2023-07-05)数据库强赎信息简报：
共有70支转债近日满足过强赎条件。
113025.SH 明泰转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
113534.SH 鼎胜转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
113615.SH 金诚转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123013.SZ 横河转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123031.SZ 晶瑞转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123046.SZ 天铁转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123118.SZ 惠城转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
128095.SZ 恩捷转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
128111.SZ 中矿转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
110068.SH 龙净转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
127014.SZ 北方转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
127029.SZ 中钢转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
113537.SH 文灿转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
113626.SH 伯特转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
127065.SZ 瑞鹄转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
127069.SZ 小熊转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
110055.SH 伊力转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
128106.SZ 华统转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123098.SZ 一品转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
127058.SZ 科伦转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
128025.SZ 特一转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
128091.SZ 新天转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
118021.SH 新致转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123025.SZ 精测转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
128140.SZ 润建转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
110048.SH 福能转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
110061.SH 川投转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123092.SZ 天壕转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123176.SZ 精测转2 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123192.SZ 科思转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
113039.SH 嘉泽转债 今日是否满足条件：1, 最近15日满足条件计数：13/15, 最近30日满足条件计数：27/30。
128041.SZ 盛路转债 今日是否满足条件：1, 最近15日满足条件计数：13/15, 最近30日满足条件计数：25/30。
110077.SH 洪城转债 今日是否满足条件：1, 最近15日满足条件计数：13/15, 最近30日满足条件计数：25/30。
113582.SH 火炬转债 今日是否满足条件：1, 最近15日满足条件计数：11/15, 最近30日满足条件计数：23/30。
127037.SZ 银轮转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：22/30。
123164.SZ 法本转债 今日是否满足条件：1, 最近15日满足条件计数：11/15, 最近30日满足条件计数：22/30。
