Date,110088.SH,113545.SH,113631.SH,123128.SZ,123156.SZ,127027.SZ,127061.SZ,110047.SH,110063.SH,110070.SH,110087.SH,110089.SH,110092.SH,111001.SH,111002.SH,111003.SH,111007.SH,111012.SH,113025.SH,113027.SH,113046.SH,113047.SH,113058.SH,113059.SH,113064.SH,113534.SH,113535.SH,113566.SH,113591.SH,113600.SH,113615.SH,113621.SH,113623.SH,113632.SH,113636.SH,113638.SH,113640.SH,113641.SH,113649.SH,113650.SH,113653.SH,113657.SH,113663.SH,118000.SH,118005.SH,118006.SH,118008.SH,118010.SH,118018.SH,118020.SH,118022.SH,118023.SH,118028.SH,118029.SH,123012.SZ,123013.SZ,123031.SZ,123046.SZ,123052.SZ,123057.SZ,123076.SZ,123078.SZ,123085.SZ,123091.SZ,123106.SZ,123118.SZ,123124.SZ,123126.SZ,123129.SZ,123144.SZ,123152.SZ,123158.SZ,123165.SZ,123166.SZ,123168.SZ,123169.SZ,127017.SZ,127018.SZ,127019.SZ,127020.SZ,127022.SZ,127025.SZ,127030.SZ,127031.SZ,127035.SZ,127042.SZ,127043.SZ,127053.SZ,127054.SZ,127056.SZ,127059.SZ,127062.SZ,127067.SZ,127068.SZ,127070.SZ,127073.SZ,127075.SZ,127078.SZ,128014.SZ,128039.SZ,128049.SZ,128063.SZ,128071.SZ,128072.SZ,128079.SZ,128081.SZ,128085.SZ,128095.SZ,128109.SZ,128111.SZ,128117.SZ,128123.SZ,128128.SZ,128130.SZ,128144.SZ,110060.SH,110064.SH,110068.SH,110074.SH,110075.SH,110080.SH,110082.SH,110086.SH,110091.SH,111000.SH,113024.SH,113030.SH,113044.SH,113054.SH,113505.SH,113519.SH,113526.SH,113530.SH,113546.SH,113549.SH,113570.SH,113574.SH,113578.SH,113593.SH,113595.SH,113597.SH,113598.SH,113608.SH,113609.SH,113622.SH,113637.SH,113644.SH,113646.SH,113651.SH,113652.SH,113654.SH,113656.SH,113658.SH,113664.SH,113665.SH,118009.SH,118014.SH,118016.SH,118017.SH,118019.SH,118025.SH,118026.SH,123002.SZ,123004.SZ,123010.SZ,123014.SZ,123034.SZ,123038.SZ,123044.SZ,123048.SZ,123049.SZ,123061.SZ,123063.SZ,123067.SZ,123071.SZ,123080.SZ,123089.SZ,123101.SZ,123103.SZ,123109.SZ,123112.SZ,123114.SZ,123120.SZ,123127.SZ,123130.SZ,123134.SZ,123136.SZ,123141.SZ,123142.SZ,123146.SZ,123147.SZ,123148.SZ,123149.SZ,123155.SZ,123159.SZ,123160.SZ,123161.SZ,123162.SZ,123163.SZ,127012.SZ,127014.SZ,127024.SZ,127029.SZ,127033.SZ,127034.SZ,127036.SZ,127039.SZ,127040.SZ,127041.SZ,127044.SZ,127047.SZ,127051.SZ,127052.SZ,127055.SZ,127064.SZ,127066.SZ,127071.SZ,127072.SZ,127074.SZ,127077.SZ,127079.SZ,128037.SZ,128041.SZ,128042.SZ,128044.SZ,128066.SZ,128070.SZ,128076.SZ,128120.SZ,128121.SZ,128125.SZ,128127.SZ,128132.SZ,128134.SZ,128138.SZ,128141.SZ,128143.SZ,110044.SH,110045.SH,110052.SH,110072.SH,110090.SH,111004.SH,111005.SH,111006.SH,111008.SH,111009.SH,111011.SH,113016.SH,113017.SH,113033.SH,113049.SH,113061.SH,113063.SH,113524.SH,113527.SH,113537.SH,113542.SH,113561.SH,113575.SH,113576.SH,113589.SH,113625.SH,113626.SH,113627.SH,113628.SH,113629.SH,113633.SH,113643.SH,113655.SH,113659.SH,113662.SH,123011.SZ,123039.SZ,123072.SZ,123075.SZ,123088.SZ,123093.SZ,123154.SZ,123174.SZ,127004.SZ,127007.SZ,127016.SZ,127037.SZ,127050.SZ,127063.SZ,127065.SZ,127069.SZ,128023.SZ,128056.SZ,128075.SZ,128082.SZ,128087.SZ,128090.SZ,128100.SZ,110055.SH,113565.SH,113584.SH,113605.SH,113634.SH,113647.SH,113648.SH,123056.SZ,123107.SZ,123133.SZ,123172.SZ,127015.SZ,127045.SZ,127046.SZ,127049.SZ,127060.SZ,127076.SZ,128017.SZ,128026.SZ,128030.SZ,128036.SZ,128106.SZ,128114.SZ,128119.SZ,128135.SZ,128142.SZ,110057.SH,110076.SH,113563.SH,113579.SH,113585.SH,113588.SH,113601.SH,113606.SH,113610.SH,113618.SH,113624.SH,113660.SH,118004.SH,118012.SH,123018.SZ,123029.SZ,123064.SZ,123065.SZ,123082.SZ,123090.SZ,123098.SZ,123099.SZ,123108.SZ,123113.SZ,123117.SZ,123119.SZ,123132.SZ,123135.SZ,123145.SZ,123150.SZ,123151.SZ,123171.SZ,127006.SZ,127028.SZ,127057.SZ,127058.SZ,128021.SZ,128025.SZ,128053.SZ,128062.SZ,128091.SZ,128097.SZ,128108.SZ,128124.SZ,128133.SZ,110043.SH,110053.SH,110059.SH,110067.SH,110073.SH,110079.SH,110083.SH,113011.SH,113013.SH,113021.SH,113037.SH,113042.SH,113043.SH,113050.SH,113052.SH,113055.SH,113056.SH,113057.SH,113060.SH,113062.SH,113065.SH,113516.SH,127005.SZ,127032.SZ,128034.SZ,128048.SZ,128116.SZ,128129.SZ,110058.SH,110062.SH,110081.SH,110085.SH,111010.SH,113045.SH,113053.SH,113504.SH,113569.SH,113573.SH,113577.SH,113582.SH,113594.SH,113596.SH,113602.SH,113604.SH,113616.SH,113619.SH,113639.SH,113661.SH,118003.SH,118007.SH,118011.SH,118013.SH,118015.SH,118021.SH,118024.SH,118027.SH,118030.SH,123015.SZ,123022.SZ,123025.SZ,123035.SZ,123050.SZ,123054.SZ,123059.SZ,123077.SZ,123083.SZ,123087.SZ,123096.SZ,123100.SZ,123104.SZ,123115.SZ,123116.SZ,123121.SZ,123122.SZ,123131.SZ,123138.SZ,123140.SZ,123143.SZ,123153.SZ,123157.SZ,123164.SZ,123167.SZ,123170.SZ,123173.SZ,127021.SZ,127026.SZ,127038.SZ,127080.SZ,128033.SZ,128035.SZ,128074.SZ,128078.SZ,128083.SZ,128101.SZ,128118.SZ,128122.SZ,128131.SZ,128136.SZ,128137.SZ,128140.SZ,110048.SH,110061.SH,110077.SH,110084.SH,113039.SH,113048.SH,113051.SH,113532.SH,123092.SZ,128105.SZ
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
