,113567.SH,123105.SZ,128145.SZ,128040.SZ,123060.SZ,123125.SZ,113525.SH,128029.SZ,123123.SZ,128022.SZ,128069.SZ,128015.SZ,110056.SH,123139.SZ,123110.SZ,113642.SH,110038.SH,128046.SZ,128073.SZ,123027.SZ,113635.SH,123137.SZ,118001.SH,113502.SH,123023.SZ,123062.SZ,123097.SZ,127048.SZ,113620.SH,123045.SZ,123086.SZ,123084.SZ,128139.SZ,123073.SZ,113548.SH,113630.SH,123070.SZ,113599.SH,128013.SZ,128107.SZ,110071.SH,127013.SZ,113541.SH,113568.SH,127003.SZ,113550.SH,118002.SH,113036.SH,123024.SZ,110066.SH,113026.SH,128093.SZ,128103.SZ,123111.SZ,128096.SZ,123042.SZ,128094.SZ,127011.SZ,128113.SZ,123043.SZ,128050.SZ,113034.SH,113009.SH,110034.SH,113536.SH,123053.SZ,113607.SH,113528.SH,123081.SZ,110051.SH,123074.SZ,113614.SH,113603.SH,123028.SZ,128057.SZ,113580.SH,123102.SZ,123069.SZ,110033.SH,110041.SH,128018.SZ,123047.SZ,123051.SZ,123068.SZ,113014.SH,113572.SH,123030.SZ,113612.SH,123079.SZ,128051.SZ,123094.SZ,113012.SH,113508.SH,123033.SZ,128064.SZ,113509.SH,123066.SZ,123007.SZ,113040.SH,113611.SH,128032.SZ,127023.SZ,113543.SH,123058.SZ,110065.SH,113041.SH,113559.SH,110031.SH,113564.SH,128126.SZ,113557.SH,110069.SH,113038.SH,128052.SZ,113029.SH,113590.SH,113592.SH,128028.SZ,113583.SH,127008.SZ,128112.SZ,128065.SZ,128010.SZ,123055.SZ,123017.SZ,128115.SZ,113587.SH,128110.SZ,113035.SH,113556.SH,113586.SH,113008.SH,113032.SH,113520.SH,128019.SZ,128104.SZ,128102.SZ,113562.SH,123026.SZ,113581.SH,123036.SZ,113553.SH,113555.SH,123032.SZ,113020.SH,113521.SH,128058.SZ,128099.SZ,113571.SH,128098.SZ,128067.SZ,128043.SZ,113028.SH,113544.SH,128092.SZ,113547.SH,113554.SH,123037.SZ,128084.SZ,110042.SH,113019.SH,123020.SZ,113031.SH,113514.SH,113518.SH,123041.SZ,128045.SZ,128086.SZ,113022.SH,123040.SZ,128088.SZ,113558.SH,128089.SZ,128059.SZ,113552.SH,128080.SZ,113551.SH,128077.SZ,128054.SZ,113515.SH,113511.SH,113503.SH,128012.SZ,113531.SH,123021.SZ,110050.SH,128055.SZ,113517.SH,128016.SZ,123019.SZ,113510.SH,113540.SH,110046.SH,123009.SZ,110054.SH,128038.SZ,123016.SZ,113539.SH,128061.SZ,113522.SH,113538.SH,128060.SZ,123003.SZ,113523.SH,128068.SZ,128020.SZ,113533.SH,110049.SH,110030.SH,113529.SH,113507.SH,128047.SZ,127009.SZ,123001.SZ,128027.SZ,127010.SZ,113015.SH,128024.SZ,110040.SH,113513.SH,113018.SH,123006.SZ,113506.SH,123008.SZ,113512.SH,110032.SH,113010.SH,123005.SZ,110039.SH,128011.SZ,128009.SZ,110035.SH,113501.SH,113007.SH,110023.SH,128007.SZ,128008.SZ,125089.SZ,126729.SZ,110029.SH,128002.SZ,128005.SZ,110012.SH,113006.SH,110011.SH,110019.SH,110028.SH,128006.SZ,110020.SH,113001.SH,110022.SH,110018.SH,110027.SH,113002.SH,110015.SH,110017.SH,127002.SZ,113005.SH,110025.SH,128004.SZ,110024.SH,113003.SH,128003.SZ,128001.SZ,110007.SH,110016.SH,125887.SZ,110003.SH,129031.SZ,125731.SZ,110009.SH
2017/1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0222,,,,,,22.9134,,,,,,,,,,,,,,,,,,9.3876,9.0837,,,,,,,,,,,,,,,22.7424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.5168,,,,,,,,,,,,,,,21.2529,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9408,,,,,,,,,,,,,,,,,,,,,,,,,,41.5266,,,,,65.6307,,,,,,,,,,,,33.584,38.4958,,,6.7485,17.1282,10.0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7943,,,,,,22.712,,,,,,,,,,,,,,,,,,10.2506,11.0921,,,,,,,,,,,,,,,22.3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1059,,,,,,,,,,,,,,,16.8316,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6429,,,,,,,,,,,,,,,,,,,,,,,,,,40.3232,,,,,67.2277,,,,,,,,,,,,32.5734,38.5027,,,7.1923,17.1845,10.4126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6937,,,,,,22.6778,,,,,,,,,,,,,,,,,,10.4035,12.766,,,,,,,,,,,,,,,22.9765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1905,,,,,,,,,,,,,,,12.7456,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2519,,,,,,,,,,,,,,,,,,,,,,,,,,40.2584,,,,,70.1736,,,,,,,,,,,,27.4782,37.702,,,8.7977,17.9929,10.3527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3998,,,,,,24.162,,,,,,,,,,,,,,,,,,11.2659,14.6541,,,,,,,,,,,,,,,24.0553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.9407,,,,,,,,,,,,,,,16.2104,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4352,,,,,,,,,,,,,,,,,,,,,,,,,,41.3362,,,,,72.2565,,,,,,,,,,,,28.5595,37.2738,,,10.1547,19.1999,10.2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9305,,,,,,23.9546,,,,,,,,,,,,,,,,,,11.5308,11.2792,,,,,,,,,,,,,,,23.2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7942,,,,,,,,,,,,,,,15.8611,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3455,,,,,,,,,,,,,,,,,,,,,,,,,,42.6442,,,,,70.0479,,,,,,,,,,,,24.83,35.9052,,,10.1217,18.659,9.9931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9964,,,,,,22.8594,,,,,,,,,,,,,,,,,,11.6449,13.0905,,,,,,,,,,,,,,,24.4108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3373,,,,,,,,,,,,,,,17.3806,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2363,,,,,,,,,,,,,,,,,,,,,,,,,,41.9338,,,,,72.7059,,,,,,,,,,,,26.3505,36.3975,,,9.4115,19.5714,9.9215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3557,,,,,,22.3357,,,,,,,,,,,,,,,,,,9.5019,15.3276,,,,,,,,,,,,,,,23.5896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6069,,,,,,,,,,,,,,,19.9907,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2206,,,,,,,,,,,,,,,,,,,,,,,,,,42.0037,,,,,73.7822,,,,,,,,,,,,28.2363,37.3189,,,9.8554,18.5944,10.8851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9315,,,,,,24.3143,,,,,,,,,,,,,,,,,,8.6846,13.8591,,,,,,,,,,,,,,,26.0649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.3358,,,,,,,,,,,,,,,21.1434,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3335,,,,,,,,,,,,,,,,,,,,,,,,,,43.4882,,,,,74.042,,,,,,,,,,,,28.9781,37.6046,,,12.1659,19.4899,11.6649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9564,,,,,,25.8362,,,,,,,,,,,,,,,,,,3.9495,10.6066,,,,,,,,,,,,,,,23.6801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5362,,,,,,,,,,,,,,,22.3111,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3273,,,,,,,,,,,,,,,,,,,,,,,,,,43.5382,,,,,75.4636,,,,,,,,,,,,27.4285,38.232,,,14.3577,18.9543,11.9554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7782,,,,,,28.7201,,,,,,,,,,,,,,,,,,2.4968,7.6466,,,,,,,,,,,,,,,26.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6916,,,,,,,,,,,,,,,25.6864,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0018,,,,,,,,,,,,,,,,,,,,,,,,,,44.3181,,,,,78.5522,,,,,,,,,,,,26.7055,40.4413,,,16.8668,19.6845,11.0978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3715,,,,,,27.2783,,,,,,,,,,,,,,,,,,3.9842,9.203,,,,,,,,,,,,,,,24.5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6022,,,,,,,,,,,,,,,22.5739,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.316,,,,,,,,,,,,,,,,,,,,,,,,,,43.3596,,,,,75.1462,,,,,,,,,,,,24.4939,40.4643,,,16.5122,17.2192,11.8135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5183,,,,,,27.3746,,,,,,,,,,,,,,,,,,5.6222,10.6689,,,,,,,,,,,,,,,23.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.9606,,,,,,,,,,,,,,,22.5005,,,,,,,,,45.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.013,,,,,,,,,,,,,,,,,,,,,,,,,,43.6818,,,,,77.75,,,,,,,,,,,,24.1431,39.7414,,,15.7797,16.8019,11.0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
