Date,801010.SI,801030.SI,801040.SI,801050.SI,801080.SI,801110.SI,801120.SI,801130.SI,801140.SI,801150.SI,801160.SI,801170.SI,801180.SI,801200.SI,801210.SI,801230.SI,801710.SI,801720.SI,801730.SI,801740.SI,801750.SI,801760.SI,801770.SI,801780.SI,801790.SI,801880.SI,801890.SI,801950.SI,801960.SI,801970.SI,801980.SI
2023/6/12,"2,950.40000","3,664.71000","2,196.14000","4,505.77000","3,796.11000","7,120.58000","21,434.53000","1,600.77000","2,293.39000","8,658.21000","2,314.19000","2,255.52000","2,664.08000","2,309.72000","10,328.37000","2,749.12000","5,602.65000","2,225.66000","8,456.60000","1,450.66000","5,041.20000",821.51000,"2,616.93000","3,205.32000","1,524.41000","5,393.34000","1,470.99000","2,538.10000","2,276.20000","1,758.17000","6,160.08000"
2023/6/13,"2,943.80000","3,661.50000","2,196.63000","4,503.80000","3,863.08000","7,084.40000","21,490.15000","1,597.33000","2,293.36000","8,610.91000","2,304.14000","2,250.08000","2,668.88000","2,316.50000","10,370.29000","2,765.50000","5,581.71000","2,208.93000","8,460.38000","1,454.63000","5,205.29000",842.42000,"2,632.86000","3,212.83000","1,531.69000","5,438.91000","1,478.41000","2,512.81000","2,256.07000","1,755.83000","6,131.96000"
2023/6/14,"2,943.43000","3,671.71000","2,191.42000","4,514.09000","3,862.93000","7,125.86000","21,903.17000","1,603.35000","2,295.32000","8,626.79000","2,279.99000","2,253.24000","2,646.49000","2,346.26000","10,445.82000","2,774.85000","5,586.27000","2,198.54000","8,374.34000","1,455.06000","5,233.42000",852.32000,"2,679.27000","3,163.50000","1,520.05000","5,454.58000","1,488.62000","2,514.25000","2,273.01000","1,756.12000","6,282.96000"
2023/6/15,"2,949.94000","3,720.03000","2,201.11000","4,554.89000","3,846.40000","7,267.67000","22,247.60000","1,597.84000","2,299.09000","8,739.56000","2,300.33000","2,250.93000","2,672.43000","2,381.06000","10,534.27000","2,773.26000","5,659.08000","2,204.93000","8,820.50000","1,464.51000","5,168.40000",847.72000,"2,698.12000","3,182.15000","1,535.35000","5,547.97000","1,524.05000","2,531.95000","2,270.00000","1,763.09000","6,358.23000"
2023/6/16,"2,989.33000","3,719.32000","2,215.66000","4,585.24000","3,901.00000","7,291.37000","22,478.33000","1,595.70000","2,301.84000","8,753.04000","2,290.36000","2,267.79000","2,672.96000","2,374.41000","10,540.39000","2,774.83000","5,695.90000","2,256.09000","8,915.90000","1,492.00000","5,325.47000",860.88000,"2,785.29000","3,173.14000","1,543.12000","5,542.78000","1,544.19000","2,530.38000","2,277.85000","1,765.01000","6,342.58000"
2023/6/19,"2,976.44000","3,696.50000","2,185.26000","4,508.26000","3,957.65000","7,174.50000","21,960.67000","1,581.86000","2,275.50000","8,700.09000","2,298.82000","2,246.05000","2,624.89000","2,324.12000","10,466.57000","2,765.01000","5,592.77000","2,211.70000","8,857.82000","1,507.06000","5,477.49000",868.58000,"2,869.30000","3,113.52000","1,522.03000","5,569.48000","1,551.71000","2,515.63000","2,258.26000","1,752.88000","6,218.55000"
2023/6/20,"2,963.55000","3,671.18000","2,167.35000","4,484.10000","3,960.42000","7,275.28000","21,759.08000","1,569.87000","2,257.41000","8,645.98000","2,286.88000","2,213.80000","2,576.23000","2,294.34000","10,317.22000","2,727.80000","5,419.07000","2,178.66000","8,864.56000","1,553.04000","5,556.70000",873.64000,"2,899.70000","3,095.77000","1,510.69000","5,593.41000","1,564.47000","2,494.06000","2,223.34000","1,747.38000","6,200.06000"
2023/6/21,"2,930.75000","3,631.82000","2,149.80000","4,406.19000","3,839.60000","7,252.60000","21,549.35000","1,550.90000","2,229.90000","8,476.07000","2,291.99000","2,200.93000","2,547.79000","2,253.53000","10,086.57000","2,702.42000","5,353.45000","2,162.99000","8,746.04000","1,533.41000","5,318.51000",809.41000,"2,792.56000","3,087.96000","1,486.05000","5,584.02000","1,543.88000","2,459.03000","2,205.64000","1,741.13000","6,085.54000"
2023/6/26,"2,907.07000","3,603.49000","2,129.00000","4,364.00000","3,764.39000","7,179.71000","21,110.91000","1,531.49000","2,194.57000","8,398.10000","2,341.21000","2,163.68000","2,503.26000","2,188.72000","9,846.64000","2,652.14000","5,283.88000","2,108.14000","8,744.32000","1,509.73000","5,014.76000",763.73000,"2,696.99000","3,037.72000","1,455.23000","5,540.38000","1,521.79000","2,438.25000","2,187.24000","1,734.94000","6,018.79000"
2023/6/27,"2,936.78000","3,674.38000","2,172.17000","4,437.42000","3,797.16000","7,344.77000","21,186.96000","1,584.73000","2,272.70000","8,473.95000","2,342.01000","2,201.03000","2,601.23000","2,215.33000","10,088.05000","2,698.39000","5,468.90000","2,178.73000","8,800.19000","1,533.77000","5,042.23000",773.56000,"2,736.46000","3,067.28000","1,470.44000","5,565.82000","1,544.22000","2,481.03000","2,243.91000","1,762.45000","6,134.85000"
2023/6/28,"2,931.09000","3,671.85000","2,175.63000","4,417.40000","3,743.31000","7,370.33000","21,300.79000","1,583.04000","2,264.04000","8,453.20000","2,379.76000","2,200.40000","2,588.27000","2,198.85000","9,954.33000","2,675.29000","5,443.38000","2,173.34000","8,862.13000","1,539.84000","4,891.07000",762.22000,"2,659.65000","3,066.95000","1,472.09000","5,593.77000","1,547.06000","2,538.53000","2,246.64000","1,767.92000","6,134.59000"
2023/6/29,"2,948.73000","3,658.72000","2,166.41000","4,398.67000","3,794.61000","7,356.27000","21,022.19000","1,593.70000","2,254.30000","8,490.07000","2,355.80000","2,167.26000","2,551.42000","2,176.78000","9,891.21000","2,697.09000","5,381.50000","2,182.91000","8,867.30000","1,551.77000","4,924.85000",775.45000,"2,728.25000","3,046.52000","1,464.99000","5,611.03000","1,571.66000","2,505.67000","2,216.01000","1,772.19000","6,110.19000"
name,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
