Date,传媒(2021),计算机(2021),石油石化(2021),美容护理(2021),农林牧渔(2021),社会服务(2021),家用电器(2021),非银金融(2021),汽车(2021),通信(2021),食品饮料(2021),机械设备(2021),电子(2021),煤炭(2021),电力设备(2021),交通运输(2021),医药生物(2021),商贸零售(2021),基础化工(2021),建筑材料(2021),有色金属(2021),银行(2021),公用事业(2021),轻工制造(2021),环保(2021),钢铁(2021),国防军工(2021),纺织服饰(2021),建筑装饰(2021)
,801760.SI,801750.SI,801960.SI,801980.SI,801010.SI,801210.SI,801110.SI,801790.SI,801880.SI,801770.SI,801120.SI,801890.SI,801080.SI,801950.SI,801730.SI,801170.SI,801150.SI,801200.SI,801030.SI,801710.SI,801050.SI,801780.SI,801160.SI,801140.SI,801970.SI,801040.SI,801740.SI,801130.SI,801720.SI
2021/1/4,739.31,"5,227.08","2,022.90","7,982.05","4,181.35","12,596.77","10,342.01","2,264.27","5,850.33","2,135.00","29,474.15","1,556.48","4,806.00","1,760.60","9,103.18","2,415.80","12,067.03","3,227.76","3,739.94","7,960.53","4,316.77","3,627.68","2,009.08","2,646.52","1,900.78","2,280.27","1,886.35","1,776.69","1,923.51"
2021/1/5,732.01,"5,255.44","2,074.03","8,248.51","4,335.03","12,570.16","10,625.13","2,252.44","5,848.74","2,145.80","30,855.62","1,574.49","4,992.09","1,721.64","9,152.10","2,439.05","12,261.60","3,242.43","3,812.00","7,962.07","4,353.32","3,583.58","1,981.37","2,677.63","1,880.98","2,271.26","1,900.57","1,760.96","1,920.58"
2021/1/6,727.7,"5,137.49","2,126.56","8,246.40","4,345.40","12,367.56","10,527.54","2,265.72","5,786.67","2,105.84","31,159.02","1,572.93","4,915.12","1,708.89","9,140.64","2,410.20","12,434.47","3,231.47","3,814.63","8,172.99","4,373.19","3,672.97","1,993.89","2,669.07","1,863.86","2,279.15","1,930.72","1,754.03","1,932.75"
2021/1/7,708.61,"4,969.85","2,142.87","8,177.05","4,374.91","12,997.92","10,733.27","2,285.57","5,855.83","2,044.14","31,514.54","1,597.74","4,931.92","1,727.98","9,405.81","2,380.66","12,415.75","3,156.38","3,864.28","8,130.85","4,537.46","3,713.91","1,961.69","2,645.28","1,812.56","2,325.36","1,963.24","1,704.00","1,886.72"
2021/1/8,730.58,"5,060.32","2,133.80","8,154.97","4,285.38","12,392.30","10,681.27","2,272.44","5,930.68","2,087.03","30,683.96","1,582.43","4,961.47","1,732.96","9,250.07","2,393.19","12,425.41","3,196.23","3,854.73","8,137.62","4,530.85","3,732.77","1,970.16","2,655.51","1,840.69","2,328.86","1,902.14","1,714.29","1,901.90"
2021/1/11,731.26,"5,044.49","2,135.61","8,140.15","4,091.76","12,505.76","10,431.85","2,219.44","6,022.91","2,093.66","29,983.16","1,569.82","5,005.85","1,664.69","8,863.79","2,348.03","12,240.07","3,140.93","3,793.05","8,118.73","4,333.42","3,775.58","1,927.63","2,607.05","1,802.84","2,273.48","1,856.60","1,695.85","1,869.53"
2021/1/12,728.91,"5,100.79","2,192.72","8,397.27","4,135.45","13,094.01","10,774.83","2,348.43","6,033.14","2,109.40","30,812.04","1,625.29","5,123.69","1,679.26","9,110.35","2,363.56","12,426.01","3,143.34","3,854.07","8,304.27","4,436.90","3,831.14","1,929.33","2,666.35","1,804.98","2,301.77","1,930.21","1,698.46","1,892.12"
2021/1/13,722.54,"5,030.97","2,203.57","8,279.72","4,054.64","12,492.80","10,776.80","2,309.10","6,035.98","2,121.10","30,578.08","1,619.25","5,173.78","1,672.51","8,924.38","2,390.63","12,230.37","3,114.75","3,832.98","8,313.96","4,317.85","3,826.59","1,942.40","2,625.34","1,800.68","2,303.30","1,904.93","1,670.17","1,919.93"
2021/1/14,719.28,"5,082.67","2,167.77","8,074.23","3,943.25","11,891.40","10,488.90","2,255.10","5,892.51","2,143.60","29,819.90","1,595.67","5,137.39","1,645.17","8,674.97","2,362.98","12,121.21","3,106.37","3,785.18","8,242.11","4,222.00","3,821.72","1,940.46","2,626.54","1,816.35","2,340.84","1,794.39","1,670.66","1,954.18"
