Date,nlmy,jchg,gt,ysjs,dz,jydq,spyl,fzfs,qgzz,yysw,gysy,jtys,fdc,smls,shfw,zh,jzcl,jzzs,dlsb,gfjg,jsj,cm,tx,yx,fyjr,qc,jxsb,ms,sysh,hb,mrhl
2017/1/3,"3,388.74","3,350.08","2,610.63","3,623.94","3,085.68","5,143.15","7,537.06","3,614.36","3,445.80","7,849.56","2,906.30","2,763.28","4,909.34","5,194.14","5,680.67","3,556.88","5,704.95","3,244.57","5,917.92","1,587.45","4,744.15","1,214.40","2,922.81","3,251.24","1,698.36","5,271.78","1,640.12","1,933.77","2,416.09","3,652.31","5,339.19"
2017/1/4,"3,423.82","3,405.95","2,642.13","3,670.89","3,125.47","5,202.55","7,721.91","3,645.32","3,486.39","7,898.61","2,923.57","2,794.90","4,939.61","5,244.20","5,732.57","3,583.30","5,741.54","3,283.48","5,994.00","1,601.41","4,796.97","1,228.56","2,961.34","3,257.88","1,702.97","5,353.27","1,657.20","1,944.62","2,447.54","3,696.69","5,403.02"
2017/1/5,"3,421.90","3,411.20","2,645.93","3,688.33","3,119.82","5,195.79","7,691.23","3,641.26","3,483.27","7,888.97","2,924.28","2,818.02","4,931.60","5,250.75","5,739.03","3,569.45","5,741.97","3,275.54","5,986.57","1,620.04","4,798.57","1,223.23","2,972.03","3,255.66","1,698.95","5,352.67","1,661.64","1,964.33","2,487.47","3,690.55","5,413.89"
2017/1/6,"3,410.66","3,394.32","2,656.73","3,665.62","3,081.86","5,150.36","7,662.84","3,603.81","3,455.01","7,820.13","2,934.12","2,812.67","4,913.59","5,199.77","5,721.59","3,537.97","5,691.96","3,257.16","5,937.25","1,617.44","4,730.21","1,209.57","2,942.07","3,234.39","1,682.68","5,335.80","1,652.43","1,968.23","2,498.10","3,715.77","5,443.08"
2017/1/9,"3,399.36","3,410.87","2,680.69","3,677.00","3,092.85","5,152.42","7,676.93","3,614.42","3,463.23","7,858.13","2,960.11","2,830.07","4,928.25","5,240.98","5,739.51","3,564.87","5,696.90","3,280.92","5,969.71","1,676.04","4,740.33","1,211.43","2,946.43","3,242.13","1,689.31","5,374.57","1,667.90","1,973.19","2,511.22","3,732.23","5,451.41"
2017/1/10,"3,377.76","3,393.36","2,704.98","3,695.50","3,081.76","5,153.01","7,681.03","3,605.45","3,455.41","7,842.40","2,942.12","2,830.55","4,917.70","5,274.91","5,717.73","3,549.03","5,689.53","3,249.36","5,952.04","1,647.37","4,718.78","1,208.75","2,924.22","3,238.04","1,686.23","5,351.91","1,658.12","1,990.01","2,483.09","3,702.91","5,315.90"
2017/1/11,"3,344.89","3,346.70","2,715.39","3,675.47","3,048.97","5,093.54","7,584.76","3,558.20","3,411.28","7,772.05","2,917.13","2,783.06","4,870.24","5,214.01","5,664.75","3,503.46","5,647.28","3,219.53","5,893.64","1,651.76","4,670.00","1,195.82","2,871.22","3,226.80","1,681.04","5,288.55","1,643.06","1,969.99","2,434.84","3,649.85","5,257.24"
2017/1/12,"3,326.66","3,314.42","2,677.67","3,635.67","3,040.40","5,040.93","7,542.79","3,527.66","3,366.52","7,707.97","2,892.67","2,761.71","4,845.10","5,152.04","5,621.62","3,482.87","5,579.16","3,197.98","5,843.31","1,627.12","4,629.81","1,186.96","2,839.99","3,223.50","1,679.25","5,235.73","1,625.44","1,943.54","2,431.59","3,615.00","5,186.79"
2017/1/13,"3,263.00","3,267.38","2,654.75","3,575.78","3,000.27","5,003.09","7,476.85","3,472.36","3,307.33","7,628.91","2,876.64","2,741.02","4,836.63","5,048.32","5,541.11","3,422.16","5,504.19","3,160.69","5,774.66","1,603.83","4,524.91","1,174.85","2,801.30","3,248.43","1,686.45","5,202.33","1,600.65","1,928.66","2,417.38","3,576.85","5,089.66"
2017/1/16,"3,187.55","3,163.00","2,633.65","3,500.20","2,898.74","4,925.62","7,379.23","3,355.48","3,168.14","7,439.03","2,828.56","2,700.52","4,736.18","4,879.72","5,360.23","3,292.66","5,331.18","3,116.59","5,593.48","1,564.52","4,334.72","1,136.67","2,697.51","3,294.21","1,694.33","5,106.14","1,546.72","1,915.44","2,365.09","3,486.15","4,910.29"
2017/1/17,"3,209.00","3,192.52","2,646.36","3,520.22","2,946.44","4,985.60","7,469.99","3,367.49","3,218.95","7,482.51","2,833.11","2,712.42","4,740.03","4,929.47","5,398.15","3,306.66","5,385.89","3,118.89","5,642.18","1,593.19","4,419.30","1,159.41","2,730.76","3,279.55","1,687.46","5,146.53","1,564.61","1,911.22","2,383.49","3,515.42","5,008.07"
2017/1/18,"3,196.61","3,181.88","2,694.05","3,518.02","2,927.09","5,024.83","7,544.31","3,353.92","3,212.10","7,459.44","2,828.82","2,721.96","4,758.58","4,917.55","5,391.74","3,304.02","5,425.49","3,142.12","5,622.52","1,584.93","4,367.11","1,148.55","2,713.72","3,298.51","1,688.70","5,160.05","1,556.98","1,916.41","2,390.24","3,504.88","4,994.57"
2017/1/19,"3,181.35","3,163.22","2,660.03","3,496.74","2,925.00","4,997.99","7,512.74","3,335.75","3,197.81","7,440.98","2,823.80","2,708.26","4,734.29","4,900.81","5,379.03","3,287.32","5,425.79","3,125.52","5,589.54","1,570.95","4,361.52","1,147.84","2,685.25","3,298.17","1,683.58","5,152.79","1,550.29","1,906.85","2,367.67","3,509.78","5,014.59"
2017/1/20,"3,222.73","3,209.22","2,677.04","3,525.26","2,978.41","5,071.26","7,562.72","3,379.79","3,255.75","7,536.42","2,851.79","2,733.59","4,774.58","4,963.16","5,446.03","3,326.18","5,520.34","3,162.89","5,660.77","1,592.65","4,459.16","1,166.59","2,731.98","3,312.18","1,696.38","5,221.55","1,571.18","1,923.39","2,387.37","3,556.73","5,096.19"
