Date,113567.SH,123105.SZ,128145.SZ,128040.SZ,123060.SZ,123125.SZ,113525.SH,128029.SZ,123123.SZ,128022.SZ,128069.SZ,128015.SZ,110056.SH,123139.SZ,123110.SZ,113642.SH,110038.SH,128046.SZ,128073.SZ,123027.SZ,113635.SH,123137.SZ,118001.SH,113502.SH,123023.SZ,123062.SZ,123097.SZ,127048.SZ,113620.SH,123045.SZ,123086.SZ,123084.SZ,128139.SZ,123073.SZ,113548.SH,113630.SH,123070.SZ,113599.SH,128013.SZ,128107.SZ,110071.SH,127013.SZ,113541.SH,113568.SH,127003.SZ,113550.SH,118002.SH,113036.SH,123024.SZ,110066.SH,113026.SH,128093.SZ,128103.SZ,123111.SZ,128096.SZ,123042.SZ,128094.SZ,127011.SZ,128113.SZ,123043.SZ,128050.SZ,113034.SH,113009.SH,110034.SH,113536.SH,123053.SZ,113607.SH,113528.SH,123081.SZ,110051.SH,123074.SZ,113614.SH,113603.SH,123028.SZ,128057.SZ,113580.SH,123102.SZ,123069.SZ,110033.SH,110041.SH,128018.SZ,123047.SZ,123051.SZ,123068.SZ,113014.SH,113572.SH,123030.SZ,113612.SH,123079.SZ,128051.SZ,123094.SZ,113012.SH,113508.SH,123033.SZ,128064.SZ,113509.SH,123066.SZ,123007.SZ,113040.SH,113611.SH,128032.SZ,127023.SZ,113543.SH,123058.SZ,110065.SH,113041.SH,113559.SH,110031.SH,113564.SH,128126.SZ,113557.SH,110069.SH,113038.SH,128052.SZ,113029.SH,113590.SH,113592.SH,128028.SZ,113583.SH,127008.SZ,128112.SZ,128065.SZ,128010.SZ,123055.SZ,123017.SZ,128115.SZ,113587.SH,128110.SZ,113035.SH,113556.SH,113586.SH,113008.SH,113032.SH,113520.SH,128019.SZ,128104.SZ,128102.SZ,113562.SH,123026.SZ,113581.SH,123036.SZ,113553.SH,113555.SH,123032.SZ,113020.SH,113521.SH,128058.SZ,128099.SZ,113571.SH,128098.SZ,128067.SZ,128043.SZ,113028.SH,113544.SH,128092.SZ,113547.SH,113554.SH,123037.SZ,128084.SZ,110042.SH,113019.SH,123020.SZ,113031.SH,113514.SH,113518.SH,123041.SZ,128045.SZ,128086.SZ,113022.SH,123040.SZ,128088.SZ,113558.SH,128089.SZ,128059.SZ,113552.SH,128080.SZ,113551.SH,128077.SZ,128054.SZ,113515.SH,113511.SH,113503.SH,128012.SZ,113531.SH,123021.SZ,110050.SH,128055.SZ,113517.SH,128016.SZ,123019.SZ,113510.SH,113540.SH,110046.SH,123009.SZ,110054.SH,128038.SZ,123016.SZ,113539.SH,128061.SZ,113522.SH,113538.SH,128060.SZ,123003.SZ,113523.SH,128068.SZ,128020.SZ,113533.SH,110049.SH,110030.SH,113529.SH,113507.SH,128047.SZ,127009.SZ,123001.SZ,128027.SZ,127010.SZ,113015.SH,128024.SZ,110040.SH,113513.SH,113018.SH,123006.SZ,113506.SH,123008.SZ,113512.SH,110032.SH,113010.SH,123005.SZ,110039.SH,128011.SZ,128009.SZ,110035.SH,113501.SH,113007.SH,110023.SH,128007.SZ,128008.SZ,125089.SZ,126729.SZ,110029.SH,128002.SZ,128005.SZ,110012.SH,113006.SH,110011.SH,110019.SH,110028.SH,128006.SZ,110020.SH,113001.SH,110022.SH,110018.SH,110027.SH,113002.SH,110015.SH,110017.SH,127002.SZ,113005.SH,110025.SH,128004.SZ,110024.SH,113003.SH,128003.SZ,128001.SZ,110007.SH,110016.SH,125887.SZ,110003.SH,129031.SZ,125731.SZ,110009.SH
2017/1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625808333,,,,,,0.526966328,,,,,,,,,,,,,,,,,,0.255488557,0.737554887,,,,,,,,,,,,,,,0.10879877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316064793,,,,,,,,,,,,,,,0.147951916,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269266272,,,,,,,,,,,,,,,,,,,,,,,,,,0.373182779,,,,,0.171020486,,,,,,,,,,,,0.635778585,0.705185396,,,0.258396221,1.653123693,0.652779643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.330475,,,,,,1.020988823,,,,,,,,,,,,,,,,,,0.828059076,0.475833258,,,,,,,,,,,,,,,0.341005206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88572324,,,,,,,,,,,,,,,2.306347359,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.826710059,,,,,,,,,,,,,,,,,,,,,,,,,,0.122792471,,,,,0.315073456,,,,,,,,,,,,0.440772501,0.653602512,,,0.505422671,1.413575463,0.400206905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.672266667,,,,,,1.221316137,,,,,,,,,,,,,,,,,,1.44812064,0.865515092,,,,,,,,,,,,,,,0.325931969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173868976,,,,,,,,,,,,,,,1.760422764,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.521360947,,,,,,,,,,,,,,,,,,,,,,,,,,1.02231633,,,,,0.496509475,,,,,,,,,,,,4.100566756,0.801640125,,,0.808275301,1.123629149,0.436729643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000766667,,,,,,0.287322439,,,,,,,,,,,,,,,,,,0.600652394,1.074625671,,,,,,,,,,,,,,,0.273568543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200499436,,,,,,,,,,,,,,,0.721658261,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728402367,,,,,,,,,,,,,,,,,,,,,,,,,,0.493010235,,,,,0.226391404,,,,,,,,,,,,0.471019155,0.361211777,,,0.209918815,0.92979314,0.299070068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.294208333,,,,,,1.492157657,,,,,,,,,,,,,,,,,,1.17120829,1.777451781,,,,,,,,,,,,,,,0.544565348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321482571,,,,,,,,,,,,,,,0.38660264,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30791716,,,,,,,,,,,,,,,,,,,,,,,,,,0.341181077,,,,,0.222183757,,,,,,,,,,,,1.951946046,1.794610641,,,0.410071955,0.707256719,0.382918284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565691667,,,,,,0.790724024,,,,,,,,,,,,,,,,,,3.138585651,1.147782019,,,,,,,,,,,,,,,0.451018408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413418084,,,,,,,,,,,,,,,0.096856613,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793372781,,,,,,,,,,,,,,,,,,,,,,,,,,0.051123019,,,,,0.471370749,,,,,,,,,,,,0.961883561,0.110008395,,,0.597233001,1.520320152,0.184957619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277983333,,,,,,0.280968331,,,,,,,,,,,,,,,,,,0.552697261,1.131911914,,,,,,,,,,,,,,,0.716264523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506062076,,,,,,,,,,,,,,,0.506839787,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.308236686,,,,,,,,,,,,,,,,,,,,,,,,,,0.247230922,,,,,0.670301721,,,,,,,,,,,,1.026152841,0.899147567,,,0.043499027,1.31348478,0.352282535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245425,,,,,,0.169616122,,,,,,,,,,,,,,,,,,1.639493285,0.627069198,,,,,,,,,,,,,,,0.506525069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387287727,,,,,,,,,,,,,,,0.29519887,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284532544,,,,,,,,,,,,,,,,,,,,,,,,,,1.135646752,,,,,0.135980574,,,,,,,,,,,,0.803921582,0.094086128,,,1.535746118,1.217109919,0.306700427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276216667,,,,,,0.830267495,,,,,,,,,,,,,,,,,,0.47373349,0.603597446,,,,,,,,,,,,,,,0.977617314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185329659,,,,,,,,,,,,,,,0.012925984,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235266272,,,,,,,,,,,,,,,,,,,,,,,,,,0.061961099,,,,,0.81904811,,,,,,,,,,,,1.075843751,0.541093926,,,0.234635481,0.927464238,0.296126521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284841667,,,,,,0.456309132,,,,,,,,,,,,,,,,,,0.760376402,1.203127344,,,,,,,,,,,,,,,1.625659365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.435922697,,,,,,,,,,,,,,,0.167900487,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132236686,,,,,,,,,,,,,,,,,,,,,,,,,,0.754371274,,,,,0.573497268,,,,,,,,,,,,0.45192949,1.221540591,,,0.276262034,0.684240271,0.402665767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
