,0
0,2017-01-03
1,2017-01-04
2,2017-01-05
3,2017-01-06
4,2017-01-09
5,2017-01-10
6,2017-01-11
7,2017-01-12
8,2017-01-13
9,2017-01-16
10,2017-01-17
11,2017-01-18
12,2017-01-19
13,2017-01-20
14,2017-01-23
15,2017-01-24
16,2017-01-25
17,2017-01-26
18,2017-02-03
19,2017-02-06
20,2017-02-07
21,2017-02-08
22,2017-02-09
23,2017-02-10
24,2017-02-13
25,2017-02-14
26,2017-02-15
27,2017-02-16
28,2017-02-17
29,2017-02-20
30,2017-02-21
31,2017-02-22
32,2017-02-23
33,2017-02-24
34,2017-02-27
35,2017-02-28
36,2017-03-01
37,2017-03-02
38,2017-03-03
39,2017-03-06
40,2017-03-07
41,2017-03-08
42,2017-03-09
43,2017-03-10
44,2017-03-13
45,2017-03-14
46,2017-03-15
47,2017-03-16
48,2017-03-17
49,2017-03-20
50,2017-03-21
51,2017-03-22
52,2017-03-23
53,2017-03-24
54,2017-03-27
55,2017-03-28
56,2017-03-29
57,2017-03-30
58,2017-03-31
59,2017-04-05
60,2017-04-06
61,2017-04-07
62,2017-04-10
63,2017-04-11
64,2017-04-12
65,2017-04-13
66,2017-04-14
67,2017-04-17
68,2017-04-18
69,2017-04-19
70,2017-04-20
71,2017-04-21
72,2017-04-24
73,2017-04-25
74,2017-04-26
75,2017-04-27
76,2017-04-28
77,2017-05-02
78,2017-05-03
79,2017-05-04
80,2017-05-05
81,2017-05-08
82,2017-05-09
83,2017-05-10
84,2017-05-11
85,2017-05-12
86,2017-05-15
87,2017-05-16
88,2017-05-17
89,2017-05-18
90,2017-05-19
91,2017-05-22
92,2017-05-23
93,2017-05-24
94,2017-05-25
95,2017-05-26
96,2017-05-31
97,2017-06-01
98,2017-06-02
99,2017-06-05
100,2017-06-06
101,2017-06-07
102,2017-06-08
103,2017-06-09
104,2017-06-12
105,2017-06-13
106,2017-06-14
107,2017-06-15
108,2017-06-16
109,2017-06-19
110,2017-06-20
111,2017-06-21
112,2017-06-22
113,2017-06-23
114,2017-06-26
115,2017-06-27
116,2017-06-28
117,2017-06-29
118,2017-06-30
119,2017-07-03
120,2017-07-04
121,2017-07-05
122,2017-07-06
123,2017-07-07
124,2017-07-10
125,2017-07-11
126,2017-07-12
127,2017-07-13
128,2017-07-14
129,2017-07-17
130,2017-07-18
131,2017-07-19
132,2017-07-20
133,2017-07-21
134,2017-07-24
135,2017-07-25
136,2017-07-26
137,2017-07-27
138,2017-07-28
139,2017-07-31
140,2017-08-01
141,2017-08-02
142,2017-08-03
143,2017-08-04
144,2017-08-07
145,2017-08-08
146,2017-08-09
147,2017-08-10
148,2017-08-11
149,2017-08-14
150,2017-08-15
151,2017-08-16
152,2017-08-17
153,2017-08-18
154,2017-08-21
155,2017-08-22
156,2017-08-23
157,2017-08-24
158,2017-08-25
159,2017-08-28
160,2017-08-29
161,2017-08-30
162,2017-08-31
163,2017-09-01
164,2017-09-04
165,2017-09-05
166,2017-09-06
167,2017-09-07
168,2017-09-08
169,2017-09-11
170,2017-09-12
171,2017-09-13
172,2017-09-14
173,2017-09-15
174,2017-09-18
175,2017-09-19
176,2017-09-20
177,2017-09-21
178,2017-09-22
179,2017-09-25
180,2017-09-26
181,2017-09-27
182,2017-09-28
183,2017-09-29
184,2017-10-09
185,2017-10-10
186,2017-10-11
187,2017-10-12
188,2017-10-13
189,2017-10-16
190,2017-10-17
191,2017-10-18
192,2017-10-19
193,2017-10-20
194,2017-10-23
195,2017-10-24
196,2017-10-25
197,2017-10-26
198,2017-10-27
199,2017-10-30
200,2017-10-31
201,2017-11-01
202,2017-11-02
203,2017-11-03
204,2017-11-06
205,2017-11-07
206,2017-11-08
207,2017-11-09
208,2017-11-10
209,2017-11-13
210,2017-11-14
211,2017-11-15
212,2017-11-16
213,2017-11-17
214,2017-11-20
215,2017-11-21
216,2017-11-22
217,2017-11-23
218,2017-11-24
219,2017-11-27
220,2017-11-28
221,2017-11-29
222,2017-11-30
223,2017-12-01
224,2017-12-04
225,2017-12-05
226,2017-12-06
227,2017-12-07
228,2017-12-08
229,2017-12-11
230,2017-12-12
231,2017-12-13
232,2017-12-14
233,2017-12-15
234,2017-12-18
235,2017-12-19
236,2017-12-20
237,2017-12-21
238,2017-12-22
239,2017-12-25
240,2017-12-26
241,2017-12-27
242,2017-12-28
243,2017-12-29
244,2018-01-02
245,2018-01-03
246,2018-01-04
247,2018-01-05
248,2018-01-08
249,2018-01-09
250,2018-01-10
251,2018-01-11
252,2018-01-12
253,2018-01-15
254,2018-01-16
255,2018-01-17
256,2018-01-18
257,2018-01-19
258,2018-01-22
259,2018-01-23
260,2018-01-24
261,2018-01-25
262,2018-01-26
263,2018-01-29
264,2018-01-30
265,2018-01-31
266,2018-02-01
267,2018-02-02
268,2018-02-05
269,2018-02-06
270,2018-02-07
271,2018-02-08
272,2018-02-09
273,2018-02-12
274,2018-02-13
275,2018-02-14
276,2018-02-22
277,2018-02-23
278,2018-02-26
279,2018-02-27
280,2018-02-28
281,2018-03-01
282,2018-03-02
283,2018-03-05
284,2018-03-06
285,2018-03-07
286,2018-03-08
287,2018-03-09
288,2018-03-12
289,2018-03-13
290,2018-03-14
291,2018-03-15
292,2018-03-16
293,2018-03-19
294,2018-03-20
295,2018-03-21
296,2018-03-22
297,2018-03-23
298,2018-03-26
299,2018-03-27
300,2018-03-28
301,2018-03-29
302,2018-03-30
303,2018-04-02
304,2018-04-03
305,2018-04-04
306,2018-04-09
307,2018-04-10
308,2018-04-11
309,2018-04-12
310,2018-04-13
311,2018-04-16
312,2018-04-17
313,2018-04-18
314,2018-04-19
315,2018-04-20
316,2018-04-23
317,2018-04-24
318,2018-04-25
319,2018-04-26
320,2018-04-27
321,2018-05-02
322,2018-05-03
323,2018-05-04
324,2018-05-07
325,2018-05-08
326,2018-05-09
327,2018-05-10
328,2018-05-11
329,2018-05-14
330,2018-05-15
331,2018-05-16
332,2018-05-17
333,2018-05-18
334,2018-05-21
335,2018-05-22
336,2018-05-23
337,2018-05-24
338,2018-05-25
339,2018-05-28
340,2018-05-29
341,2018-05-30
342,2018-05-31
343,2018-06-01
344,2018-06-04
345,2018-06-05
346,2018-06-06
347,2018-06-07
348,2018-06-08
349,2018-06-11
350,2018-06-12
351,2018-06-13
352,2018-06-14
353,2018-06-15
354,2018-06-19
355,2018-06-20
356,2018-06-21
357,2018-06-22
358,2018-06-25
359,2018-06-26
360,2018-06-27
361,2018-06-28
362,2018-06-29
363,2018-07-02
364,2018-07-03
365,2018-07-04
366,2018-07-05
367,2018-07-06
368,2018-07-09
369,2018-07-10
370,2018-07-11
371,2018-07-12
372,2018-07-13
373,2018-07-16
374,2018-07-17
375,2018-07-18
376,2018-07-19
377,2018-07-20
378,2018-07-23
379,2018-07-24
380,2018-07-25
381,2018-07-26
382,2018-07-27
383,2018-07-30
384,2018-07-31
385,2018-08-01
386,2018-08-02
387,2018-08-03
388,2018-08-06
389,2018-08-07
390,2018-08-08
391,2018-08-09
392,2018-08-10
393,2018-08-13
